CS,DEM,SL,AMP,AMT,AME,NDVI,NL,POP,GDP
48.81 ,1464.51 ,22.66 ,767.1666463,18.81128438,1223.5625,6498.163001,0,0.60460029,1004.317871
63.45 ,1813.46 ,21.26 ,794.5229085,17.26788203,1253.291667,7137.795721,0.063828126,0.49001056,214.0584183
49.75 ,1950.48 ,10.87 ,827.2312622,16.04479154,1179.520833,7114.83389,0,0.968726397,233.2450333
37.23 ,1760.11 ,7.28 ,818.1771037,17.35121536,1272.083333,6235.657278,0,1.11921984,245.0357437
43.74 ,1538.81 ,16.85 ,792.5916545,18.79027748,1327.729167,5917.490368,0,0.444325169,235.290535
35.82 ,1304.19 ,19.61 ,762.8250122,20.56354141,1399.104167,5869.30636,0,0.374401232,229.9616508
51.18 ,1714.42 ,17.15 ,804.1291911,18.05833371,1309.145833,6806.401545,0,0.420593063,229.7610397
74.86 ,1928.01 ,13.30 ,835.7166545,16.35763899,1208.5,6712.802379,0,0.581001719,212.4220441
75.55 ,1953.57 ,8.96 ,841.7458293,15.95850627,1191.770833,6519.496361,0,1.96998179,213.5868225
44.44 ,1992.22 ,9.69 ,843.9395752,15.61979135,1147.604167,6769.261905,0,2.072976391,236.1628265
62.82 ,2308.44 ,19.45 ,849.3791504,14.3671875,1083.479167,7233.205364,0,0.805407961,217.1642354
53.75 ,2112.79 ,22.84 ,852.7687581,14.81892331,1126.416667,7139.733251,0,0.243557051,219.2082837
57.19 ,1707.62 ,27.44 ,812.1645711,16.34444491,1148.229167,7109.141865,0,0.227802162,215.7779566
70.50 ,1645.20 ,13.03 ,778.5895793,17.87690926,1188.270833,7537.667044,0,0.369642138,1015.824361
78.53 ,1700.12 ,12.86 ,782.3770752,17.87708346,1220.104167,7452.881139,0,0.480299622,1002.38444
56.43 ,1627.83 ,12.03 ,780.5437419,17.94618034,1216.104167,6993.892815,0.0109375,1.245135228,1177.659058
74.99 ,1842.94 ,16.27 ,803.4229126,16.77256902,1156.9375,7562.119396,0,0.280209551,1008.803009
66.55 ,1872.88 ,14.11 ,814.5562337,16.67864672,1149.375,7280.289324,0,0.380383253,1046.466746
52.71 ,1587.08 ,19.04 ,784.6020915,18.63697879,1234.041667,6688.004579,0,0.528342515,1064.289602
39.69 ,1505.58 ,24.40 ,779.1104329,18.93090248,1327.729167,6614.682157,0,0.556994885,371.021637
27.78 ,1847.92 ,7.24 ,827.4437866,16.82274246,1238.75,6335.774791,0.044218749,2.121998588,276.8368594
48.35 ,1848.76 ,10.19 ,836.55837,16.79861069,1242.770833,6487.283095,0,0.881199976,237.6190427
54.73 ,1781.43 ,13.70 ,830.9104004,17.24774297,1241.645833,6183.976633,0,0.719176948,229.1798439
43.27 ,1397.14 ,25.44 ,776.1916707,19.74079831,1362.520833,6136.147196,0,0.465678444,220.9343859
77.93 ,1858.70 ,19.28 ,825.9854126,16.96892293,1243.416667,7561.425311,0,0.492587547,205.6895447
61.39 ,1891.21 ,10.14 ,836.78125,16.43871498,1200.979167,6658.933518,0,0.835707724,221.5586039
64.19 ,1954.23 ,11.28 ,851.8104451,16.02604103,1198.020833,6746.0753,0,1.158009966,214.8958499
57.39 ,1966.55 ,12.96 ,853.0541789,15.75572872,1165.666667,6945.458477,0,1.172978918,223.1806628
65.15 ,2041.44 ,15.23 ,859.4666951,15.39635436,1125.979167,7180.811974,0,0.91019551,217.108654
50.49 ,1871.53 ,23.08 ,848.8687744,16.27708308,1167.5,6110.410448,0,0.886959573,223.1545232
58.17 ,1701.18 ,26.40 ,822.5583293,16.984375,1208.104167,6242.832928,0,0.670309365,225.3947449
55.30 ,2025.39 ,24.50 ,840.90625,15.23871517,1153.479167,7591.814876,0,0.78246822,219.6284498
63.89 ,2506.31 ,25.36 ,890.19163,12.61770789,1046.895833,7072.872442,0.052328676,0.630375167,218.8891754
47.78 ,2366.25 ,27.23 ,877.9499715,13.14982605,1042.645833,7444.531818,0.010838976,0.565727989,216.904822
41.36 ,1779.65 ,28.58 ,811.3270874,15.94861126,1088.229167,7052.324401,0,0.579807003,229.4919917
71.65 ,1624.36 ,15.35 ,792.0124919,17.88663228,1181.5,7381.313095,0,0.176564703,991.402771
