CS,ELE_qt7,SL_qt7,AMP_gmt7,AMT_uni6,AME_jnb7,NDVI_qt7,NL_std6,POP_qt7,GDP_qt7,DTW_std6,DTG_std7,DTH_std6,DTC_qt7
264.75,5,4,3,2,1,2,1,1,1,2,4,4,5
264.75,4,6,4,3,3,5,4,2,3,2,2,2,0
175.54,5,2,3,2,2,1,1,1,0,2,3,2,5
175.54,6,1,3,2,2,0,1,1,0,2,2,2,3
264.75,4,5,4,3,3,5,1,2,2,2,2,2,5
175.54,6,3,3,2,1,4,1,1,2,2,3,5,6
220.15,4,3,4,3,3,6,1,1,2,3,2,3,6
164.78,3,4,4,4,4,6,1,4,3,2,2,3,5
175.54,6,4,4,2,2,2,1,1,2,2,3,5,5
175.54,6,1,4,2,1,0,1,1,2,2,4,3,6
171.41,5,1,3,2,2,0,1,2,0,2,2,2,6
175.54,6,1,3,2,1,0,1,2,0,2,2,2,5
175.54,6,4,4,2,1,3,1,2,2,3,3,3,4
175.54,6,0,3,2,1,0,1,0,0,1,2,3,6
264.75,3,4,3,3,4,6,1,3,2,2,2,4,1
175.54,5,0,3,2,3,1,1,0,1,2,2,3,6
264.75,3,4,3,3,4,2,1,3,1,2,3,2,0
264.75,4,3,4,3,4,6,1,3,2,2,3,4,3
264.75,4,5,4,3,3,6,1,1,2,2,3,5,4
264.75,4,5,3,3,3,4,1,3,2,3,2,3,5
175.54,5,6,4,2,2,3,1,2,3,2,2,3,4
264.75,3,6,4,3,5,6,1,4,3,2,2,2,1
197.84,6,5,3,2,1,0,1,2,0,1,2,2,4
264.75,3,5,4,3,4,6,1,2,2,2,4,3,6
175.54,5,4,4,2,1,2,1,3,3,2,2,4,5
181.44,3,2,4,3,4,4,1,4,2,2,3,2,2
175.54,5,1,3,2,2,1,1,1,0,2,2,2,2
264.75,3,6,4,3,3,5,1,2,2,2,2,2,3
175.54,6,3,3,2,1,1,1,1,1,2,2,2,6
205.28,4,6,4,3,4,6,1,1,2,2,2,4,6
175.54,5,3,4,2,1,3,1,1,3,2,2,2,4
264.75,4,2,4,2,2,6,1,1,2,2,3,5,6
220.15,5,6,3,2,2,4,1,2,1,2,2,4,6
264.75,3,6,4,3,3,6,1,1,2,3,3,4,4
264.75,3,5,4,4,5,4,1,3,2,2,2,2,1
175.54,6,2,3,2,2,1,1,1,0,2,3,3,6
175.54,3,5,4,4,5,2,1,4,2,2,2,3,3
175.54,5,2,3,2,2,1,1,0,2,2,2,5,5
197.84,3,6,4,3,4,5,1,2,3,2,2,4,6
175.54,6,1,3,2,1,0,1,0,1,1,3,4,5
175.54,4,4,3,3,3,5,1,2,2,3,2,1,5
175.54,3,6,4,4,5,3,1,4,2,1,2,4,6
264.75,3,5,4,4,4,6,1,3,2,2,3,2,1
197.84,5,3,3,2,3,2,1,1,0,2,3,4,6
264.75,4,6,3,3,3,6,1,2,2,2,2,2,3
175.54,2,6,4,4,6,4,1,2,2,1,4,3,6
175.54,5,5,4,2,1,2,1,1,3,2,2,3,6
220.15,3,4,4,4,4,2,1,3,4,3,2,3,1
264.75,3,6,3,3,3,6,1,2,1,2,3,5,6
264.75,3,2,4,3,4,6,1,1,2,2,3,4,4
175.54,5,4,3,2,2,0,1,2,1,2,2,2,6
264.75,3,5,4,3,4,6,1,1,2,2,3,4,3
264.75,4,6,4,3,4,6,1,1,2,2,2,4,2
264.75,4,6,3,3,2,6,1,0,1,2,4,3,3
175.54,5,1,3,2,3,1,1,2,1,2,1,2,2
264.75,4,6,3,3,4,6,1,3,2,3,2,2,4
138.36,6,2,4,2,1,4,1,1,3,3,3,5,2
175.54,4,3,4,3,3,4,1,2,2,2,2,2,5
175.54,3,5,4,3,4,6,1,2,3,2,3,5,0
175.54,6,5,4,2,0,0,1,2,3,2,2,4,6
264.75,3,6,4,3,4,6,1,1,1,2,3,5,6
242.45,5,3,4,3,2,4,1,1,3,3,2,4,5
227.58,5,4,4,2,2,3,1,2,3,3,2,4,4
175.54,6,5,3,2,1,1,1,1,2,2,2,2,5
175.54,6,2,3,2,2,1,1,1,1,2,2,4,6
264.75,5,3,3,2,2,4,1,2,2,2,2,4,3
264.75,3,6,4,4,5,6,1,3,2,2,4,3,6
175.54,6,4,4,2,1,0,1,1,3,2,2,2,4
242.45,5,4,3,2,1,3,1,1,0,2,2,3,5
175.54,5,1,3,2,2,1,1,1,1,2,2,5,4
264.75,5,4,4,2,1,3,1,3,3,2,1,2,3
264.75,6,3,3,2,1,1,1,1,2,2,2,3,1
175.54,6,5,4,2,1,1,1,2,3,2,2,4,6
235.01,3,4,3,3,5,3,1,3,2,3,1,2,3
242.45,4,2,4,3,2,6,1,2,2,3,3,4,3
125.97,6,4,4,2,0,0,1,2,3,2,3,5,3
264.75,5,4,4,3,2,5,1,1,2,3,2,2,5
264.75,4,3,4,2,2,5,1,1,2,2,3,5,4
175.54,6,5,3,2,1,0,1,1,1,2,2,3,3
175.54,6,6,3,2,1,0,1,0,0,2,2,3,6
264.75,5,4,4,2,2,5,1,1,2,3,3,2,5
264.75,4,6,4,3,3,6,1,2,3,2,2,4,4
159.02,6,6,3,2,1,1,1,1,2,2,2,2,3
264.75,3,6,4,4,4,6,1,2,2,2,4,4,5
264.75,3,6,4,3,4,6,1,4,4,2,2,4,2
242.45,5,3,4,2,1,4,1,1,3,2,2,4,2
264.75,4,4,3,2,2,6,1,1,2,2,2,4,3
264.75,3,6,4,3,4,6,1,2,2,2,3,5,1
264.75,3,4,4,3,4,6,1,2,2,2,3,4,2
175.54,2,6,4,4,6,5,1,3,2,3,3,5,2
159.02,6,3,3,2,1,4,1,2,1,2,3,3,4
175.54,6,6,4,2,1,0,1,1,2,2,4,4,5
175.54,5,6,4,2,2,5,1,1,3,2,2,4,0
220.15,3,6,4,3,3,6,1,1,1,2,3,5,6
197.84,4,3,4,3,2,5,1,3,2,3,3,3,5
264.75,3,5,4,3,4,6,1,3,3,2,2,5,2
264.75,5,4,4,3,3,5,1,2,3,2,2,3,3
205.28,5,5,3,2,3,4,1,1,0,2,3,3,6
264.75,4,5,3,3,4,5,1,2,2,2,3,2,3
264.75,4,5,4,3,3,6,1,2,3,2,3,4,5
264.75,4,2,3,3,3,3,1,3,1,2,2,2,4
175.54,6,4,3,2,1,0,1,2,2,2,2,3,1
220.15,4,5,4,3,3,6,1,0,3,2,2,4,6
264.75,3,6,4,3,4,6,1,2,3,2,2,3,2
242.45,5,4,3,2,2,5,1,1,2,3,4,2,5
197.84,4,1,4,3,3,6,1,2,2,2,3,2,0
175.54,5,6,4,2,1,3,1,2,2,2,2,2,3
264.75,3,4,4,3,4,6,1,2,2,2,2,2,5
175.54,3,6,4,4,5,3,1,2,2,1,3,5,6
264.75,4,5,3,3,4,5,1,2,1,1,3,5,6
150.76,6,3,3,2,1,1,1,1,1,2,3,5,6
125.97,6,4,4,1,0,0,1,1,2,2,2,3,5
220.15,4,4,4,2,2,3,1,2,2,2,3,3,3
235.01,4,5,4,3,3,5,1,2,3,3,2,4,6
264.75,4,5,3,3,5,4,1,3,2,2,2,3,0
220.15,6,5,4,2,1,5,1,1,2,2,2,4,5
175.54,6,1,3,2,1,0,1,0,0,2,3,3,6
264.75,5,5,3,2,2,6,1,1,1,3,2,2,6
150.76,6,3,4,1,0,0,1,1,3,1,3,4,3
175.54,6,4,4,1,1,1,1,2,3,2,2,3,4
264.75,3,4,4,3,4,6,1,2,3,2,2,4,5
175.54,6,5,3,2,2,1,1,1,2,3,2,2,3
175.54,3,5,3,3,5,2,1,3,2,3,2,3,0
175.54,5,3,4,3,2,5,1,3,3,2,1,2,3
220.15,4,6,4,2,3,5,1,1,2,3,2,3,5
264.75,3,6,3,3,4,6,1,2,1,2,3,5,3
197.84,4,3,4,3,2,6,1,2,2,2,3,4,2
264.75,5,6,4,2,1,3,1,2,3,2,2,4,6
264.75,3,4,4,3,4,6,1,3,2,2,2,2,4
264.75,4,5,4,3,4,5,1,1,2,3,2,5,5
167.47,3,4,4,4,4,4,1,3,3,3,2,4,4
175.54,2,3,4,4,5,2,1,4,3,1,2,4,1
150.76,6,5,4,2,1,1,1,1,2,2,2,3,6
175.54,3,6,3,4,5,3,1,3,2,1,3,5,5
175.54,6,4,3,2,1,0,1,1,1,2,3,5,6
175.54,4,6,4,3,3,5,1,2,3,3,3,5,6
175.54,5,4,3,3,3,1,1,2,0,2,2,2,6
264.75,5,6,3,3,2,6,1,2,1,4,2,2,5
220.15,3,6,4,3,3,5,1,2,3,2,2,4,3
264.75,5,6,3,2,2,6,1,1,0,2,3,4,6
264.75,3,4,4,3,5,5,1,3,2,2,1,2,2
175.54,6,2,3,2,1,0,1,1,0,2,2,2,5
242.45,4,4,4,3,2,6,1,1,2,3,2,3,4
190.41,3,6,4,3,3,6,1,3,4,2,3,4,3
52.6,6,4,4,1,0,0,1,1,2,2,2,3,5
242.45,5,4,3,2,2,6,1,2,0,2,2,2,5
264.75,4,4,4,3,3,6,1,1,2,3,2,2,5
264.75,3,6,3,3,3,6,1,1,2,2,3,3,4
264.75,3,5,4,3,3,6,1,2,2,2,3,5,5
125.97,6,6,4,2,0,3,1,1,2,2,2,2,3
220.15,5,2,3,2,3,3,1,2,0,2,3,3,6
175.54,4,6,4,3,3,3,1,3,2,2,3,3,0
159.02,6,0,3,2,1,0,1,1,0,2,2,2,4
175.54,4,5,3,3,4,1,1,3,0,1,3,3,6
264.75,3,5,4,3,5,5,1,3,2,1,4,3,0
125.97,5,1,3,2,3,2,1,1,0,2,2,4,6
175.54,3,6,4,4,5,3,1,3,2,1,2,4,4
175.54,5,5,4,2,2,5,1,1,2,2,2,2,1
264.75,5,5,4,2,2,6,1,1,2,2,2,3,6
264.75,4,5,4,3,3,6,1,2,3,2,2,3,5
175.54,6,0,3,2,1,0,1,0,0,2,3,2,6
264.75,2,4,4,4,5,4,1,4,4,2,2,3,0
175.54,4,6,4,3,3,6,1,3,3,2,3,5,1
220.15,5,3,3,2,2,1,1,1,0,2,2,2,2
264.75,5,2,3,2,2,1,1,1,1,2,2,4,5
197.84,3,6,4,4,4,6,1,4,2,2,3,5,2
175.54,3,6,3,4,5,1,1,3,2,1,2,2,3
175.54,6,0,3,2,2,0,1,0,0,1,3,2,5
264.75,5,5,3,2,1,3,1,2,0,2,3,3,1
264.75,5,5,3,3,2,6,1,0,1,3,3,3,6
175.54,3,5,3,4,6,2,1,3,2,1,4,2,6
264.75,5,4,3,2,2,1,1,1,0,3,2,2,3
190.41,6,5,3,2,2,3,1,1,2,3,2,2,4
220.15,5,3,3,2,2,2,1,1,0,2,2,2,5
264.75,4,5,4,2,2,6,1,2,3,2,2,3,3
175.54,5,1,3,2,2,2,1,1,1,2,2,3,6
264.75,3,4,4,3,4,6,1,2,2,2,3,2,3
175.54,5,4,3,2,3,1,1,1,1,2,2,4,6
264.75,3,4,4,3,4,6,1,3,2,2,2,2,3
175.54,4,3,3,3,3,2,1,4,0,2,3,3,6
131.7,6,1,3,2,1,0,1,2,0,2,2,2,5
164.78,3,4,4,4,4,5,1,4,3,2,2,5,2
189.77,2,3,4,4,5,6,1,2,6,2,2,4,4
175.54,5,3,3,3,3,6,1,1,1,2,3,5,6
264.75,4,6,4,3,3,5,1,2,4,2,2,4,4
264.75,3,6,4,3,3,6,1,3,2,2,2,3,1
175.54,6,1,3,2,1,0,1,1,2,2,2,3,3
159.02,6,2,3,2,1,0,1,0,0,2,3,3,5
175.54,5,4,4,2,1,0,1,0,1,1,3,5,3
175.54,6,5,4,2,0,0,1,1,3,2,2,2,5
264.75,4,6,4,3,3,6,1,2,2,2,2,4,6
264.75,4,4,4,3,2,0,1,3,3,2,2,4,5
264.75,3,6,4,4,4,6,1,2,2,2,4,4,6
220.15,4,4,3,3,2,5,1,1,1,2,3,2,4
248.09,2,5,4,3,4,6,1,3,4,2,3,5,2
264.75,3,6,4,3,5,6,1,3,4,2,2,4,4
175.54,6,5,3,2,1,1,1,1,0,2,2,3,4
264.75,4,4,4,3,2,6,1,2,2,2,4,3,3
264.75,3,6,4,3,4,5,1,3,4,2,3,5,4
175.54,5,6,3,2,2,0,1,2,1,2,3,4,6
264.75,3,6,3,3,4,6,1,3,2,2,2,3,1
175.54,4,3,3,3,3,2,1,2,0,2,3,4,6
264.75,4,5,3,3,4,6,1,2,1,2,2,4,6
175.54,6,3,3,2,1,0,1,0,0,2,2,2,5
216.56,3,6,4,4,5,6,1,3,1,3,3,5,2
264.75,3,6,4,3,4,5,1,2,2,2,2,2,3
175.54,6,1,3,2,1,1,1,0,1,2,2,2,4
175.54,6,5,3,2,1,1,1,2,1,2,3,5,6
175.54,3,6,4,4,6,1,1,3,2,1,3,5,6
264.75,3,2,3,3,4,6,1,1,1,3,3,4,1
175.54,6,1,3,2,1,0,1,0,0,2,3,2,5
264.75,4,6,4,3,3,6,1,2,2,2,2,2,2
175.54,6,3,3,2,1,0,1,0,0,3,2,2,2
175.54,6,0,3,2,1,0,1,0,0,1,2,3,5
264.75,3,4,4,3,3,6,1,1,2,2,2,4,3
264.75,4,4,4,3,3,6,1,2,2,2,3,2,3
175.54,6,1,3,2,1,0,1,1,1,2,2,2,3
264.75,4,4,4,3,3,6,1,1,2,3,3,4,4
264.75,3,6,4,3,4,6,1,3,2,2,4,2,2
175.54,6,1,3,2,1,0,1,1,0,1,2,2,4
175.54,6,2,3,2,1,1,1,1,0,2,2,2,4
175.54,6,5,4,1,1,1,1,1,3,3,2,4,5
264.75,4,5,3,3,2,5,1,1,2,3,4,2,5
175.54,6,3,3,2,2,1,1,2,2,2,2,3,2
142.49,6,2,3,2,1,0,1,1,0,1,3,4,6
175.54,4,5,4,3,3,5,1,1,2,3,2,3,4
264.75,3,5,4,3,3,2,1,2,3,3,2,4,4
264.75,4,5,3,3,2,6,1,1,2,2,4,4,4
264.75,3,4,4,4,4,6,1,3,2,2,4,4,5
175.54,4,6,4,3,3,4,1,2,2,2,2,3,2
242.45,5,4,4,2,1,4,1,1,2,2,3,2,5
264.75,5,4,4,3,2,4,1,1,2,3,3,4,5
175.54,5,1,3,2,3,1,1,2,0,2,3,3,6
253.62,5,4,3,2,2,1,1,1,2,3,2,5,4
264.75,3,5,3,3,5,3,1,3,1,2,2,3,0
220.15,4,6,4,3,3,5,1,1,2,2,4,2,3
175.54,5,3,3,3,4,1,1,3,0,2,1,2,3
264.75,4,5,4,3,4,6,1,1,2,3,3,5,5
264.75,6,5,3,2,1,0,1,1,1,2,2,5,5
175.54,6,2,3,2,1,1,1,0,0,2,2,2,6
175.54,6,6,3,2,1,0,1,1,3,3,2,4,4
264.75,3,3,3,3,4,6,1,3,2,2,4,2,6
264.75,5,5,3,2,2,6,1,2,0,2,3,2,1
175.54,5,1,4,2,2,1,1,0,2,3,3,4,4
175.54,4,5,4,3,2,5,1,2,2,3,2,4,4
175.54,2,2,4,4,5,3,1,3,2,1,2,4,3
175.54,5,6,4,3,3,4,1,2,3,3,2,3,5
175.54,6,4,4,2,1,5,1,0,2,2,3,4,4
175.54,5,5,4,2,2,5,1,0,2,2,2,4,4
234.19,6,4,3,2,2,1,1,1,0,2,2,2,2
264.75,5,5,4,2,2,6,1,1,1,2,3,5,6
175.54,6,2,4,1,0,0,1,2,2,2,2,2,5
242.45,6,1,3,2,2,0,1,1,1,2,2,2,6
175.54,3,6,4,4,5,4,1,3,3,2,2,2,4
190.41,2,5,4,4,5,6,1,3,3,2,2,4,4
220.15,5,4,4,2,1,3,1,0,2,2,3,5,6
264.75,4,5,4,3,3,5,1,2,2,2,2,2,5
175.54,6,1,3,2,1,0,1,1,1,2,2,2,6
159.02,6,5,3,2,1,0,1,2,0,2,3,3,5
175.54,6,4,4,2,0,0,1,1,3,1,2,3,3
264.75,4,5,3,3,2,5,1,2,0,3,3,2,3
264.75,2,6,4,4,5,5,1,3,3,1,3,4,2
264.75,5,5,3,2,2,6,1,1,1,2,2,4,3
41.34,2,2,4,4,6,6,1,4,4,1,2,3,0
175.54,3,4,4,4,5,1,1,3,2,1,2,4,2
175.54,6,6,3,2,1,1,1,1,1,2,3,5,6
264.75,3,6,4,4,5,5,1,4,2,2,2,3,5
264.75,3,6,4,4,5,5,1,4,4,2,2,3,2
164.78,3,5,4,4,5,5,1,4,4,2,2,3,1
264.75,4,6,4,3,3,6,1,3,3,3,2,4,2
125.97,6,3,4,1,0,0,1,1,2,2,2,4,6
264.75,3,4,4,3,4,6,1,3,2,2,2,3,2
242.45,4,4,4,3,3,5,1,2,2,2,2,4,1
242.45,5,4,4,2,2,3,1,1,2,3,4,2,4
175.54,6,3,3,2,1,1,1,1,2,2,2,2,5
220.15,5,6,4,2,2,4,1,1,2,2,2,3,6
175.54,5,5,4,2,2,5,1,0,3,2,2,3,4
264.75,3,4,4,3,4,6,1,3,2,2,3,4,1
264.75,3,3,4,3,4,5,1,4,2,2,3,5,4
264.75,2,6,4,4,5,6,1,3,3,2,2,4,4
195.15,4,6,4,3,4,6,1,3,3,3,2,3,1
264.75,3,4,4,3,4,6,1,4,3,2,2,4,3
264.75,5,5,3,2,3,6,1,1,1,2,2,3,5
175.54,4,0,3,3,3,0,1,4,0,2,2,2,6
264.75,4,2,4,2,2,6,1,1,2,3,2,3,5
264.75,4,6,3,3,3,6,1,1,2,2,2,4,1
0.0,0,0,3,3,5,0,1,2,0,1,1,1,0
220.15,6,1,3,2,1,0,1,0,0,2,2,2,6
242.45,5,3,4,2,1,3,1,1,2,2,4,2,4
264.75,4,6,3,2,3,5,1,2,0,3,3,2,1
206.43,2,3,4,4,4,5,1,4,4,2,2,4,2
171.41,6,3,3,2,1,0,1,1,1,2,2,2,3
175.54,5,4,3,2,2,4,1,2,1,2,2,4,5
264.75,5,6,4,2,2,6,1,1,2,2,2,4,6
175.54,6,5,4,2,1,3,1,1,3,2,2,4,6
264.75,3,6,4,3,3,6,1,3,4,2,2,3,2
175.54,6,4,4,1,0,0,1,0,3,2,2,3,5
264.75,5,4,4,2,1,4,1,2,2,2,1,2,4
264.75,3,6,4,4,5,6,1,3,3,3,2,4,5
264.75,3,6,4,4,5,6,1,3,2,1,3,2,0
220.15,6,1,3,2,1,0,1,1,0,2,3,2,6
264.75,3,5,4,3,4,6,1,2,2,2,2,5,5
175.54,5,4,3,2,2,0,1,0,0,2,3,4,6
264.75,3,5,4,3,4,6,1,2,2,3,2,2,4
264.75,4,4,4,3,3,5,1,2,2,2,3,2,3
205.28,4,6,4,3,3,6,1,1,3,2,3,4,6
175.54,6,5,4,2,1,1,1,1,3,2,2,3,5
125.97,6,4,4,1,0,0,1,2,1,2,3,5,5
175.54,5,2,4,2,1,3,1,3,2,2,4,5,3
264.75,3,3,4,4,5,4,1,4,2,2,3,2,1
197.84,5,3,3,2,2,4,1,1,1,3,2,4,6
175.54,6,6,4,1,1,0,1,3,3,2,2,4,6
242.45,3,3,4,3,4,6,1,3,5,2,2,3,3
175.54,6,2,3,2,1,0,1,1,1,2,2,3,4
220.15,4,4,3,3,3,3,1,2,1,2,3,4,6
175.54,5,4,4,2,1,1,1,3,2,3,3,4,4
175.54,5,3,3,2,2,2,1,1,0,2,3,4,6
175.54,6,0,3,2,1,0,1,1,0,2,2,2,3
264.75,5,1,3,2,2,3,1,2,2,2,2,3,0
264.75,5,4,3,2,2,2,1,2,3,3,2,4,4
264.75,3,5,4,3,3,6,1,1,2,2,4,5,4
264.75,5,3,4,2,2,3,1,1,2,3,3,3,4
175.54,5,1,4,1,1,0,1,0,3,2,2,3,5
264.75,4,3,4,3,3,6,1,3,2,3,2,4,3
175.54,6,5,4,2,1,1,1,3,3,2,1,2,3
264.75,4,4,3,2,3,1,1,2,0,2,2,2,2
220.15,4,5,4,3,3,6,1,3,3,2,2,4,6
264.75,3,4,3,3,4,4,1,1,0,1,3,4,6
220.15,5,2,4,2,2,3,1,1,2,2,2,2,5
164.78,3,5,4,4,5,4,1,4,3,2,3,5,5
264.75,5,3,3,2,2,1,1,0,0,2,2,4,6
175.54,5,5,3,2,2,2,1,1,1,2,4,4,3
264.75,4,6,3,3,3,6,1,2,1,2,2,4,6
175.54,6,4,3,2,0,0,1,0,1,1,2,3,5
264.75,5,4,3,3,2,5,1,1,2,3,2,5,4
175.54,6,3,3,2,1,1,1,1,0,2,2,2,3
164.78,3,6,4,4,5,4,1,4,3,2,3,5,5
264.75,5,2,4,2,1,1,1,1,2,1,4,3,6
264.75,5,4,4,2,2,6,1,0,2,3,2,5,4
175.54,5,6,4,2,1,0,1,1,2,2,2,2,3
197.84,6,2,3,2,1,0,1,3,1,1,3,5,6
264.75,4,6,4,3,3,6,1,2,2,2,3,4,3
175.54,5,6,4,2,2,5,1,3,3,2,2,3,5
264.75,3,5,5,3,4,1,1,3,4,3,2,3,1
264.75,4,4,4,3,3,6,1,2,2,2,4,4,4
264.75,3,6,3,4,5,5,1,1,1,3,3,4,0
264.75,6,2,3,2,1,1,1,0,0,1,2,3,4
175.54,5,4,4,2,1,1,1,3,2,2,2,2,5
164.78,3,3,4,4,5,4,1,4,3,3,2,3,4
264.75,5,5,4,1,0,0,1,0,3,3,3,5,6
175.54,5,4,3,2,3,1,1,2,0,3,2,2,4
175.54,6,2,3,2,1,0,1,1,1,2,2,2,5
264.75,4,4,4,3,3,6,1,1,1,2,3,5,6
175.54,6,2,3,2,1,1,1,1,0,2,2,2,4
264.75,4,5,3,3,4,5,1,3,0,3,3,2,3
197.84,5,3,4,3,3,4,1,2,2,4,3,3,5
264.75,4,4,4,3,4,6,1,2,2,2,2,4,6
264.75,5,1,4,3,3,6,1,1,2,2,2,5,3
264.75,3,3,3,3,4,6,1,2,1,2,2,5,6
0.19,6,6,4,1,0,0,1,0,3,2,3,5,5
125.97,6,5,4,1,1,0,1,0,3,3,2,4,4
264.75,5,6,4,2,2,3,1,1,2,2,3,5,4
175.54,6,2,3,2,1,2,1,0,1,3,2,4,6
175.54,6,1,3,2,1,0,1,1,0,2,2,3,1
175.54,5,1,3,2,2,4,1,2,0,3,3,2,1
264.75,4,4,4,3,3,6,1,1,2,2,2,3,3
264.75,5,4,3,2,2,5,1,1,0,2,2,3,4
93.42,4,1,3,3,4,1,1,3,1,2,3,3,6
205.28,5,5,3,2,2,6,1,2,0,3,2,2,3
175.54,6,5,4,2,1,0,1,1,2,2,2,3,6
175.54,4,6,4,3,3,3,1,3,3,2,3,4,2
264.75,4,5,3,3,3,6,1,2,2,3,2,2,5
264.75,4,6,4,3,3,5,1,1,3,3,3,5,5
264.75,3,5,4,3,4,6,1,4,2,2,1,2,3
264.75,5,5,3,2,2,4,1,2,2,2,2,2,5
264.75,3,6,4,4,3,5,1,2,3,2,2,4,4
175.54,6,5,4,2,1,2,1,1,3,1,2,3,5
175.54,4,1,3,2,2,4,1,1,1,2,4,3,5
220.15,5,4,3,2,2,1,1,2,0,2,2,2,4
175.54,6,2,4,1,0,0,1,0,3,2,2,3,6
175.54,6,4,3,2,2,1,1,0,1,3,2,3,6
264.75,3,6,3,3,4,6,1,1,1,2,4,3,0
175.54,4,3,4,3,3,5,1,2,2,3,3,4,5
125.97,6,1,3,2,1,0,1,2,1,2,3,2,6
239.76,3,5,4,3,4,6,1,3,2,2,1,2,3
264.75,4,5,3,3,4,6,1,2,2,3,2,2,5
175.54,5,4,3,2,1,3,1,1,3,3,3,4,3
264.75,3,5,4,3,4,6,1,2,2,2,3,4,1
175.54,5,1,4,2,2,2,1,2,2,2,3,2,4
264.75,3,5,3,3,3,6,1,1,1,3,2,2,5
175.54,5,3,4,2,2,3,1,2,2,2,2,2,2
197.84,4,6,4,2,2,6,1,2,4,2,3,5,3
175.54,6,0,3,2,1,0,1,0,0,1,2,2,4
138.36,6,3,4,1,0,0,1,1,3,2,3,4,6
257.32,3,5,3,3,3,4,1,2,1,1,3,5,6
175.54,4,2,3,3,4,0,1,3,0,2,1,2,1
239.76,3,3,4,4,5,5,1,3,2,2,2,2,3
175.54,4,6,3,3,3,1,1,2,0,2,2,3,3
175.54,5,2,3,3,3,0,1,3,0,3,1,2,3
242.45,2,6,4,4,5,3,1,4,3,2,2,3,6
264.75,5,6,4,2,2,3,1,2,3,2,2,4,6
264.75,3,6,4,3,4,6,1,3,2,2,3,2,2
87.87,2,2,4,4,6,2,1,4,2,1,2,3,4
264.75,4,6,4,3,3,6,1,1,2,2,2,3,6
264.75,5,4,3,2,1,2,1,1,0,2,3,3,5
264.75,3,6,4,3,4,6,1,2,4,2,2,4,2
264.75,5,5,4,2,2,4,1,1,2,3,4,2,4
125.97,6,3,4,1,0,0,1,1,3,3,2,4,6
175.54,5,3,4,2,1,2,1,1,3,2,2,3,1
264.75,3,4,4,4,4,6,1,4,3,2,2,5,2
264.75,3,5,4,4,5,6,1,3,4,2,2,3,1
125.97,6,4,4,2,1,0,1,1,3,2,3,5,3
175.54,6,3,3,2,1,0,1,2,1,2,2,2,6
175.54,4,6,4,3,3,1,1,3,4,2,2,3,3
175.54,6,3,4,2,1,1,1,0,1,2,3,5,6
175.54,6,5,3,2,2,2,1,2,1,2,3,5,6
264.75,4,6,3,3,3,5,1,3,0,2,3,4,6
175.54,6,0,3,2,2,1,1,2,1,2,2,2,2
264.75,4,4,3,3,4,5,1,2,1,2,1,2,3
264.75,4,6,3,2,2,6,1,0,1,2,3,4,5
264.75,4,5,4,3,3,6,1,2,3,3,3,5,5
175.54,5,1,4,2,2,2,1,2,2,2,2,3,3
264.75,5,5,3,2,1,5,1,1,2,2,4,2,5
175.54,2,3,4,4,5,3,3,3,2,1,2,3,0
242.45,4,2,4,2,2,2,1,2,3,2,2,3,4
138.36,6,3,4,2,1,0,1,0,3,2,2,3,6
0.19,5,0,4,2,1,1,1,1,3,1,2,3,4
264.75,5,5,3,2,2,6,1,2,1,3,2,2,5
197.84,3,6,4,3,3,4,1,0,3,2,3,5,3
175.54,6,2,3,2,1,0,1,1,1,2,2,3,1
175.54,6,6,4,1,0,0,1,0,3,2,3,4,5
264.75,3,6,4,4,5,5,1,3,2,1,2,2,0
242.45,5,5,4,3,2,6,1,1,2,3,2,3,5
264.75,4,3,3,3,3,6,1,2,1,4,2,2,5
175.54,6,2,4,2,2,4,1,2,1,2,3,5,6
175.54,6,4,4,1,0,0,1,0,2,2,4,3,5
242.45,2,4,4,4,5,5,1,4,4,2,2,3,0
175.54,6,4,3,2,1,0,1,1,2,2,2,4,2
197.84,2,5,4,4,5,2,1,3,3,2,2,4,6
175.54,5,2,3,2,2,5,1,1,0,2,2,3,4
175.54,2,4,3,4,5,4,1,3,1,3,3,4,1
175.54,6,1,3,2,2,0,1,0,0,2,2,3,6
197.84,4,6,4,3,3,6,1,2,2,2,3,5,6
264.75,3,5,3,3,4,4,1,3,1,2,3,2,3
175.54,4,0,3,3,4,0,1,3,1,2,2,2,6
175.54,5,6,4,2,1,4,1,2,3,2,2,3,6
264.75,5,5,3,3,3,1,1,2,0,3,2,4,6
264.75,3,5,3,3,4,6,1,1,1,2,3,4,2
264.75,5,6,4,2,2,5,1,1,3,2,2,3,6
264.75,5,3,4,2,0,1,1,2,2,2,2,3,3
175.54,5,3,4,2,1,1,1,1,3,2,3,5,4
175.54,6,4,4,2,0,0,1,1,2,2,4,3,5
264.75,5,1,4,2,1,4,1,2,2,2,3,2,4
264.75,5,2,3,2,2,3,1,1,1,2,3,5,4
0.19,6,2,4,0,0,0,1,2,3,4,2,4,6
214.77,3,4,4,4,4,3,1,3,5,2,2,3,5
264.75,3,5,4,3,4,6,1,2,2,2,2,2,2
264.75,4,6,4,3,3,4,1,2,2,3,2,4,2
175.54,6,4,3,2,1,2,1,1,0,2,2,3,5
264.75,4,4,3,3,3,5,1,1,1,2,2,4,4
264.75,3,4,4,3,4,6,1,1,1,2,3,5,5
264.75,4,6,4,3,4,6,1,1,2,2,1,2,2
264.75,3,3,3,3,4,6,1,2,2,2,4,3,5
