CS,ELE_qt7,SL_qt7,AMP_gmt7,AMT_uni6,AME_jnb7,NDVI_qt7,NL_std6,POP_qt7,GDP_qt7,DTW_std6,DTG_std7,DTH_std6,DTC_qt7
164.78,3,1,4,4,6,1,1,4,3,3,2,2,5
264.75,3,1,4,4,4,5,1,4,4,5,2,3,5
264.75,3,3,4,4,5,4,1,4,3,4,2,2,2
264.75,2,5,4,5,6,5,1,4,4,2,2,3,1
264.75,3,5,4,3,3,6,1,3,3,2,2,3,6
164.78,3,3,4,3,4,5,1,3,3,4,2,2,4
264.75,3,2,4,4,4,6,1,3,4,3,2,3,3
197.84,3,6,4,4,5,6,1,4,3,3,2,3,0
264.75,2,4,4,4,5,6,1,4,6,2,2,2,4
228.4,2,3,4,5,6,0,1,3,6,2,2,2,5
175.54,2,6,3,5,6,2,1,5,6,1,2,2,3
264.75,2,3,3,5,6,3,1,4,6,2,2,2,3
264.75,3,2,4,4,5,5,1,3,4,6,2,3,3
164.78,2,3,3,5,6,2,1,4,6,2,2,2,4
205.28,3,3,4,4,5,1,1,4,3,2,2,2,5
167.47,2,1,4,4,6,3,1,4,3,3,2,3,0
264.75,2,6,4,4,5,6,1,4,4,2,2,3,1
195.15,2,1,3,5,6,1,1,5,5,2,2,2,0
264.75,3,3,4,4,5,6,1,3,4,2,2,2,3
205.28,4,4,4,3,3,4,1,3,3,4,2,3,4
264.75,3,2,4,3,4,4,1,3,3,3,2,3,3
97.01,3,1,4,4,5,2,1,4,3,5,2,3,0
175.54,3,5,4,4,4,3,1,4,2,2,1,2,3
214.76,3,4,4,3,3,2,1,3,3,4,2,2,6
264.75,3,3,4,3,4,4,1,3,4,5,2,3,3
239.76,2,5,4,5,6,4,1,4,3,2,2,2,5
242.45,3,4,4,4,5,6,1,3,4,2,2,2,2
197.84,3,2,4,4,4,3,1,4,3,4,2,2,4
242.45,3,5,4,3,3,6,1,2,3,3,2,2,5
264.75,3,4,4,4,4,6,1,3,4,5,2,3,4
264.75,3,3,4,4,4,6,1,3,3,3,2,3,3
264.75,2,4,4,5,6,6,1,4,3,2,2,2,1
175.54,3,0,4,4,5,0,1,4,3,4,2,3,6
264.75,4,6,4,3,3,3,1,2,2,2,2,2,3
264.75,3,5,3,3,4,0,1,2,0,2,4,5,4
0.19,3,0,4,4,4,4,1,0,3,1,2,4,2
264.75,2,3,4,5,6,4,1,4,6,2,2,2,3
164.78,3,2,4,4,6,2,1,5,3,2,1,2,1
189.77,2,0,4,5,6,3,1,3,5,2,2,3,0
264.75,2,4,4,4,5,0,1,4,4,3,2,3,2
164.78,3,0,4,4,4,1,1,4,3,1,3,4,0
264.75,4,5,3,3,2,6,1,1,2,2,4,5,3
240.65,2,6,4,4,5,4,1,4,4,2,2,3,5
170.16,3,0,4,4,5,2,1,4,3,3,2,2,4
164.78,2,5,4,4,6,4,1,4,4,4,2,4,1
220.15,2,6,4,5,5,4,1,4,5,2,2,2,1
264.75,3,6,4,4,4,6,1,4,3,2,2,4,1
175.54,2,2,3,5,6,1,1,4,6,2,2,2,2
264.75,3,5,4,4,5,6,1,4,5,2,2,3,3
170.16,3,1,4,4,5,1,1,4,3,4,2,2,0
264.75,3,3,4,4,4,6,1,3,3,4,2,2,5
264.75,2,4,4,4,5,5,1,4,3,2,2,2,3
264.75,3,2,4,3,4,5,1,3,3,5,2,2,3
231.43,2,6,4,5,6,5,1,5,5,2,1,2,2
264.75,3,4,4,3,3,6,1,3,3,4,2,3,3
264.75,2,5,3,5,6,3,1,2,6,2,2,2,3
234.9,3,1,4,4,5,0,1,4,3,4,2,3,0
214.77,4,1,4,3,3,5,1,3,3,2,2,4,3
264.75,2,3,4,4,6,6,1,4,4,2,2,2,3
264.75,2,2,4,5,6,4,1,3,6,2,1,2,3
214.76,2,4,4,4,5,6,1,3,3,2,2,3,5
197.84,3,3,4,4,4,5,1,4,3,3,2,3,6
175.54,3,4,4,3,3,5,1,3,3,3,2,2,5
264.75,3,4,4,3,3,4,1,2,3,4,2,3,6
182.97,3,6,4,3,5,3,1,4,3,4,2,3,6
167.47,3,2,4,4,5,1,1,4,3,4,2,2,5
214.77,3,3,4,4,5,2,1,4,3,3,1,2,4
239.76,2,4,4,5,5,5,1,4,5,2,2,2,3
194.26,3,5,4,4,5,3,1,3,3,5,2,2,3
175.54,3,1,4,4,5,3,1,3,3,5,2,2,4
207.33,2,5,4,4,5,5,1,3,6,2,2,2,3
264.75,2,6,4,5,6,5,1,3,4,1,2,3,2
264.75,2,6,4,4,6,6,1,3,6,3,2,3,2
175.54,3,1,4,4,5,2,1,4,4,5,2,3,1
264.75,3,5,4,4,5,5,1,3,6,3,2,2,4
264.75,2,5,4,4,5,5,1,4,6,2,2,2,4
214.77,3,5,4,4,4,6,1,4,3,2,2,2,4
264.75,3,3,4,4,5,6,1,3,4,2,2,4,2
192.46,2,3,4,4,5,4,1,4,4,3,2,2,2
264.75,2,3,4,5,6,6,1,4,4,3,2,4,1
167.47,2,1,4,5,6,2,1,4,6,2,1,2,2
164.78,2,2,3,5,6,1,4,5,6,1,1,1,0
167.47,2,1,4,5,6,4,1,4,6,2,2,2,4
116.01,3,0,4,4,6,2,1,4,3,2,2,2,3
172.45,2,1,3,5,6,0,1,5,5,3,2,3,2
264.75,2,5,4,4,5,5,1,4,5,2,2,2,3
264.75,3,5,4,4,5,6,1,3,3,3,2,2,6
214.77,3,5,4,4,5,3,1,3,3,3,2,3,2
264.75,2,2,4,4,6,6,1,4,4,5,2,4,1
264.75,3,1,4,4,5,3,1,4,3,2,2,2,5
164.78,3,2,4,4,4,6,1,3,4,2,2,2,5
248.09,2,3,4,5,6,6,1,4,4,2,2,4,2
264.75,3,5,4,4,5,5,1,3,3,4,2,2,4
260.76,2,5,3,5,6,0,1,3,6,2,2,2,4
175.54,4,6,4,3,3,2,1,2,3,3,2,3,6
164.78,3,0,4,4,6,1,1,6,3,2,1,2,4
264.75,4,4,4,3,3,4,1,2,3,4,2,3,4
264.75,3,3,4,4,4,6,1,2,3,2,2,2,5
167.47,2,1,3,5,6,1,1,4,5,2,1,2,1
264.75,2,3,3,5,5,5,1,4,6,2,2,2,4
175.54,3,6,4,4,5,5,1,4,4,3,2,4,3
264.75,3,5,4,3,4,4,1,3,4,4,2,2,6
167.47,3,1,4,4,6,0,1,5,3,2,1,2,4
164.78,2,0,4,4,6,5,1,5,5,3,2,2,3
264.75,3,3,4,4,5,6,1,4,3,4,2,2,6
264.75,2,2,4,5,5,5,1,3,4,3,2,3,3
264.75,3,1,4,4,6,2,1,4,3,3,2,2,5
167.47,3,1,4,4,5,1,1,4,3,4,2,2,2
264.75,2,2,4,4,5,6,1,4,4,2,2,2,0
239.76,2,2,4,5,6,6,1,4,4,3,2,3,4
264.75,2,6,4,4,5,5,1,3,4,4,2,4,3
264.75,3,5,4,3,3,5,1,2,4,2,2,2,4
242.45,3,6,4,4,5,6,1,3,2,3,2,2,2
175.54,3,1,4,4,5,1,1,4,3,4,2,2,6
185.03,2,5,4,4,6,5,1,4,3,2,2,2,6
264.75,4,4,4,3,3,3,1,3,3,3,2,3,6
264.75,4,2,4,3,3,6,1,3,3,2,2,4,2
264.75,3,2,4,3,4,4,1,4,3,3,2,2,5
264.75,2,5,4,4,5,0,1,4,4,2,2,4,4
264.75,3,6,4,3,3,3,1,3,3,3,2,2,5
264.75,3,4,4,4,5,6,1,3,4,2,2,4,4
197.84,3,5,4,3,4,2,1,4,3,3,2,2,5
164.78,2,5,4,5,6,3,1,6,5,3,2,4,0
264.75,2,3,4,4,6,6,1,3,4,2,2,2,2
264.75,2,4,4,4,5,5,1,4,5,4,2,4,1
264.75,3,5,4,3,4,5,1,4,3,3,2,2,5
264.75,2,2,4,4,6,5,1,4,4,3,2,2,0
239.76,3,2,4,4,5,4,1,5,5,3,2,2,3
264.75,2,2,4,4,5,6,1,4,4,2,2,2,4
264.75,2,6,4,5,6,5,1,3,4,2,2,3,4
214.77,2,5,4,5,6,5,1,3,5,2,2,3,2
214.77,2,5,4,4,6,6,1,4,5,2,2,2,3
175.54,3,4,4,3,4,5,1,3,3,3,2,2,5
175.54,3,1,4,4,6,0,1,5,3,2,1,2,3
189.77,2,4,4,4,5,5,1,4,5,4,2,4,3
264.75,3,5,4,3,5,4,1,3,3,4,2,3,1
195.15,2,4,4,4,5,4,1,3,3,2,2,2,6
175.54,2,6,4,5,6,6,1,4,4,2,2,3,4
220.15,2,6,4,5,6,5,1,4,3,2,2,2,6
264.75,3,3,4,3,4,5,1,3,3,4,2,3,6
175.54,3,0,4,4,6,2,1,4,3,4,2,2,5
175.54,3,1,4,4,4,2,1,4,4,5,2,3,4
264.75,2,4,4,5,6,5,1,4,4,2,2,2,0
264.75,3,5,4,3,4,4,1,4,3,2,1,2,3
175.54,3,3,4,3,4,1,1,4,3,3,2,2,5
164.78,3,0,4,4,5,1,1,4,3,4,2,3,6
264.75,3,5,4,4,5,5,1,3,2,2,1,2,2
214.76,2,3,4,4,5,5,1,4,3,2,2,2,4
167.47,2,3,4,4,5,5,1,4,6,2,2,2,1
175.54,2,4,4,4,6,5,1,4,3,3,2,2,1
189.77,2,2,3,5,6,2,1,6,6,2,1,2,2
175.54,2,5,4,4,5,5,1,4,3,2,2,2,4
264.75,2,2,3,5,6,5,1,4,6,2,2,2,4
174.9,2,1,3,5,6,2,1,4,5,2,2,2,2
245.39,2,4,4,4,5,0,1,2,6,3,2,2,5
242.45,3,3,4,4,5,5,1,4,3,3,2,3,0
175.54,3,2,4,3,4,4,1,3,3,3,2,2,4
164.78,3,0,4,4,6,1,1,5,3,2,2,2,4
264.75,3,5,4,4,4,6,1,3,4,5,2,4,3
172.85,2,5,3,5,6,3,1,4,5,2,2,2,2
0.0,0,0,4,4,5,0,1,4,0,1,1,1,0
175.54,3,1,4,4,6,1,1,5,3,3,2,2,3
264.75,3,3,4,4,5,6,1,3,4,3,2,4,3
264.75,3,3,4,3,4,6,1,2,2,2,2,3,5
164.78,3,1,4,3,4,1,1,4,3,3,2,3,6
264.75,3,4,4,4,5,6,1,3,3,2,2,2,3
264.75,4,4,4,3,3,4,1,3,3,4,2,3,4
264.75,4,2,4,3,3,6,1,2,3,3,2,3,4
197.84,3,3,4,4,6,1,1,4,3,3,2,2,4
175.54,3,2,4,4,6,1,4,6,4,2,1,2,1
175.54,5,3,4,3,2,2,1,2,3,3,2,3,6
264.75,3,0,4,4,6,1,1,4,3,3,2,3,6
239.76,2,5,4,4,5,6,1,3,3,3,2,2,4
264.75,3,6,4,3,4,4,1,3,3,4,2,3,4
264.75,3,2,4,4,5,0,1,3,3,4,2,3,1
175.54,2,3,3,5,6,1,1,4,4,2,2,3,2
214.77,2,4,4,4,5,6,1,3,4,2,2,2,4
264.75,2,4,3,5,6,3,1,4,6,2,1,2,2
214.77,2,1,4,5,5,1,1,4,6,2,2,2,4
167.47,3,3,4,3,4,2,1,3,3,2,2,2,5
175.54,3,0,4,4,5,0,1,5,3,4,2,2,5
264.75,3,3,4,4,5,4,1,4,3,3,2,3,4
175.54,2,6,4,4,6,5,1,4,5,1,2,3,4
264.75,2,3,4,5,6,4,1,4,6,2,1,2,3
264.75,2,2,4,5,6,0,1,6,6,2,2,2,1
264.75,2,5,4,5,6,5,1,4,6,2,1,2,3
175.54,2,6,4,5,6,3,1,4,3,1,2,2,3
175.54,3,6,4,3,4,6,1,3,2,2,2,2,5
264.75,2,3,4,5,5,6,1,3,5,2,2,2,2
164.78,3,5,4,3,4,6,1,2,3,2,2,3,6
264.75,3,3,4,3,4,6,1,3,3,3,2,3,5
164.78,2,1,3,5,6,0,5,4,6,1,2,2,0
264.75,3,4,4,3,4,4,1,3,3,4,2,3,4
264.75,2,5,4,5,6,6,1,5,4,2,2,3,1
264.75,3,4,4,4,5,4,1,3,3,6,2,2,5
175.8,2,4,4,5,6,4,1,4,4,1,2,3,5
264.75,2,4,4,5,6,3,1,5,5,2,2,2,1
264.75,3,4,4,3,3,6,1,3,3,4,2,2,6
248.09,3,5,4,4,4,6,1,3,3,4,2,2,3
214.77,2,5,4,5,6,6,1,4,4,4,2,4,1
175.54,2,3,3,5,6,2,1,4,5,2,2,2,2
227.58,3,5,4,4,4,6,1,3,4,4,2,2,5
264.75,3,6,4,4,5,4,1,4,2,2,2,2,0
264.75,2,5,4,5,6,6,1,3,4,2,2,2,1
189.77,3,4,4,4,5,2,1,4,3,3,2,2,4
264.75,2,5,4,5,6,4,1,5,5,2,1,2,1
18.48,2,2,3,5,6,0,6,6,6,1,1,2,0
239.76,2,3,4,5,6,2,1,3,5,2,1,2,2
197.84,3,3,4,4,5,5,1,3,3,6,2,2,5
264.75,3,4,4,3,3,3,1,2,3,3,2,2,6
264.75,2,5,4,4,5,5,1,3,4,2,2,2,5
264.75,2,4,4,4,5,4,1,3,5,2,1,2,3
264.75,2,5,4,5,5,6,1,3,3,2,2,2,3
264.75,3,3,4,4,4,6,1,3,3,5,2,2,3
164.78,2,1,3,5,6,1,1,5,5,1,2,2,0
189.77,2,1,3,5,6,3,1,5,6,2,2,2,0
264.75,2,6,4,5,6,6,1,4,5,3,2,4,1
264.75,3,3,4,4,3,5,1,3,4,3,2,2,3
264.75,3,2,4,4,5,0,1,3,3,3,3,4,3
223.71,2,4,4,5,6,2,1,4,5,2,2,2,1
264.75,3,2,4,4,5,0,1,4,3,6,2,3,4
205.28,4,4,4,3,3,5,1,3,3,3,2,2,5
264.75,2,5,4,5,6,6,1,4,5,3,2,4,1
264.75,2,3,3,5,6,2,1,5,6,2,1,2,1
264.75,3,4,4,3,4,5,1,2,3,4,2,2,6
264.75,3,5,4,4,5,5,1,3,3,2,2,3,6
249.13,2,6,3,5,6,0,1,4,5,1,2,2,1
198.1,2,4,4,5,6,3,1,4,6,2,2,2,4
175.54,4,5,4,3,4,4,1,2,3,3,2,3,6
264.75,2,6,4,4,6,4,1,3,2,2,2,2,2
175.54,3,0,4,3,3,2,1,3,3,3,2,2,5
264.75,3,3,4,3,4,5,1,4,3,4,2,3,3
170.16,2,1,4,5,6,2,1,4,6,3,2,2,0
175.54,2,2,3,5,6,1,1,3,6,2,2,2,0
231.43,3,3,4,4,5,5,1,4,4,3,2,2,4
264.75,3,3,4,3,3,5,1,3,3,2,2,2,5
264.75,2,1,3,4,6,0,1,4,4,2,2,2,0
175.54,2,6,3,5,6,0,1,4,6,1,2,2,2
175.54,2,6,4,4,5,6,1,3,4,4,2,3,5
264.75,2,3,4,4,5,5,1,4,4,3,2,2,1
264.75,2,5,4,5,6,6,1,2,4,2,2,3,1
264.75,2,2,4,4,5,4,1,4,5,3,2,2,4
175.54,3,2,4,4,5,1,1,3,3,5,2,2,4
264.75,3,1,4,4,5,4,1,4,4,2,2,2,3
214.76,3,4,4,4,5,5,1,4,3,4,2,2,6
170.16,2,5,4,4,6,1,1,4,2,1,1,2,3
164.78,2,2,4,5,6,5,1,3,6,2,2,2,5
264.75,2,4,4,4,6,5,1,4,3,2,2,2,5
214.76,2,2,4,5,6,6,1,4,6,2,2,2,2
175.54,2,4,4,5,6,1,3,5,6,2,1,2,2
172.85,2,2,3,5,6,1,1,4,5,2,2,3,3
264.75,4,5,4,3,3,5,1,2,3,3,2,2,6
175.54,2,1,3,5,6,1,6,6,6,1,1,2,0
167.47,3,4,4,4,5,4,1,4,3,2,2,3,1
220.15,3,3,4,4,4,3,1,4,3,3,2,2,5
0.19,2,1,3,5,6,1,1,4,5,2,2,1,2
175.54,3,2,4,4,5,2,1,4,3,2,1,2,3
164.78,2,2,4,5,6,4,1,6,5,2,2,4,0
264.75,3,5,4,3,4,6,1,2,3,4,2,2,6
175.54,2,4,4,5,6,2,1,4,3,2,2,1,2
264.75,2,4,4,4,5,6,1,3,4,2,2,2,4
264.75,2,4,4,5,6,5,1,4,4,3,2,4,1
264.75,3,5,4,4,4,5,1,3,3,3,2,2,6
264.75,2,1,4,4,5,6,1,4,4,2,2,2,2
169.26,2,0,3,5,6,1,1,5,5,2,2,3,3
164.78,3,0,4,4,6,1,1,5,3,2,1,2,2
264.75,3,5,4,3,3,4,1,2,4,2,2,3,2
264.75,2,6,4,5,5,6,1,3,4,2,2,3,0
264.75,3,3,4,4,5,6,1,3,3,3,2,2,4
264.75,2,6,4,4,5,4,1,2,6,2,2,2,3
264.75,3,3,4,4,5,4,1,4,3,4,2,2,3
264.75,3,5,4,3,3,5,1,3,3,3,2,2,6
264.75,3,3,4,4,5,4,1,4,0,6,2,3,4
264.75,3,5,4,4,5,5,1,4,5,2,2,3,3
264.75,3,5,4,4,5,6,1,3,3,3,2,3,4
0.0,0,0,4,3,4,0,1,4,3,1,1,1,0
239.76,2,5,4,5,6,6,1,3,4,2,2,3,2
264.75,2,3,4,4,5,5,1,3,4,3,2,3,4
264.75,2,1,3,5,6,4,1,4,6,2,2,2,3
264.75,3,5,4,4,4,6,1,3,4,2,2,3,3
192.46,3,3,4,4,5,1,1,4,3,3,2,2,3
212.71,4,1,4,3,3,2,1,2,3,3,2,3,6
0.19,2,0,4,5,6,2,1,0,4,1,2,2,3
230.28,2,1,3,5,6,1,1,3,0,2,2,2,2
264.75,3,2,4,3,4,5,1,3,3,4,2,2,5
205.28,2,4,4,5,5,4,1,4,3,2,2,3,5
264.75,2,4,4,4,5,5,1,4,6,2,2,2,4
145.78,2,2,3,5,6,0,3,6,6,1,2,2,0
264.75,2,1,3,5,5,6,1,4,6,2,2,2,4
175.54,4,6,4,3,3,3,1,3,3,4,2,2,6
264.75,3,6,4,4,5,6,1,3,4,5,2,3,2
242.45,2,3,3,5,6,2,1,2,6,2,2,2,1
164.78,2,4,4,4,5,4,1,4,3,4,2,2,1
264.75,2,5,4,5,6,6,1,3,6,2,1,2,2
264.75,2,5,3,5,6,0,1,4,6,2,2,2,3
164.78,3,1,4,4,6,0,1,4,3,3,3,4,2
0.0,0,0,4,3,4,0,1,3,3,1,1,1,0
264.75,2,5,4,5,6,6,1,4,4,2,2,4,0
264.75,2,5,4,5,6,6,1,4,5,1,1,2,0
264.75,2,5,4,4,6,3,1,3,3,1,2,3,5
242.45,2,2,4,5,6,4,1,4,6,3,2,2,0
264.75,2,1,3,5,6,5,1,3,6,2,2,2,3
264.75,2,2,4,4,5,6,1,4,6,3,2,3,5
205.28,2,5,4,5,6,3,1,4,3,1,2,3,5
189.77,2,1,4,4,5,6,1,4,5,1,1,2,3
175.54,4,4,4,3,3,1,1,3,4,5,2,3,4
264.75,3,1,4,4,5,2,1,4,3,4,2,3,6
264.75,2,3,4,4,6,5,1,4,4,3,2,4,3
264.75,3,5,4,4,4,6,1,3,3,3,2,3,6
170.16,2,2,3,5,6,1,1,5,6,2,2,2,4
264.75,2,4,4,5,6,3,1,6,6,2,1,2,2
264.75,3,1,4,3,4,5,1,3,3,4,2,3,3
181.44,2,4,3,5,6,2,1,3,6,2,2,2,3
175.54,3,2,4,4,5,4,1,4,3,4,2,2,1
175.54,2,6,4,4,5,6,1,4,3,3,2,2,4
0.19,2,2,4,5,6,2,1,3,4,1,2,2,0
220.15,3,1,4,4,5,4,1,4,4,4,2,3,2
264.75,3,5,4,3,4,6,1,4,3,3,2,3,2
214.77,3,3,4,3,4,6,1,4,3,3,2,3,6
264.75,3,5,4,3,4,4,1,3,3,2,1,2,3
164.78,3,0,4,4,6,0,1,5,3,2,1,2,3
264.75,2,2,4,5,6,4,1,4,5,2,2,2,3
264.75,2,4,4,4,5,5,1,4,6,2,2,2,4
264.75,3,2,4,4,5,5,1,3,3,5,2,2,4
264.75,3,5,4,4,4,6,1,2,3,3,2,3,6
264.75,3,3,4,3,4,6,1,3,3,3,2,3,6
264.75,2,5,4,4,5,3,1,3,3,2,2,3,5
264.75,2,6,4,5,6,5,1,4,3,2,2,2,1
264.75,3,2,4,3,4,4,1,3,3,2,2,4,2
164.78,2,2,4,5,6,5,1,4,4,3,2,4,1
264.75,3,1,4,4,6,1,1,4,3,3,2,2,2
175.54,2,4,4,5,6,6,1,3,5,2,2,3,2
264.75,2,5,4,4,6,6,1,2,4,2,2,3,1
164.78,2,2,4,5,6,4,1,4,6,3,2,2,2
264.75,3,2,4,4,5,0,1,3,6,2,2,2,5
264.75,4,2,4,3,3,6,1,2,3,3,2,3,3
170.16,2,4,4,5,6,3,1,5,4,2,2,2,5
264.75,2,5,4,4,5,6,1,4,4,2,2,2,4
189.77,2,1,3,5,6,2,1,5,6,2,1,2,0
214.76,3,4,4,4,5,4,1,3,3,2,2,3,1
264.75,4,5,4,3,3,6,1,2,2,2,2,2,5
175.54,2,2,3,5,6,2,1,4,4,2,2,2,0
264.75,2,2,4,4,5,6,1,4,6,2,2,3,5
264.75,3,6,4,3,4,6,1,3,2,2,2,2,3
