CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
220.15 ,1788.25 ,23.02 ,922.62 ,15.57 ,1059.68 ,0.68 ,0.00 ,0.20 ,33.40 ,2011.84 ,35057.77 ,6778.46 ,1551.61 
172.85 ,1549.25 ,24.19 ,946.59 ,17.42 ,1106.78 ,0.55 ,0.00 ,0.35 ,9.76 ,779.42 ,29338.16 ,11452.84 ,12683.36 
264.75 ,2789.75 ,25.27 ,875.50 ,9.80 ,996.33 ,0.58 ,0.00 ,0.11 ,6.40 ,8661.84 ,41359.49 ,19164.75 ,3950.63 
164.78 ,1801.75 ,5.89 ,854.71 ,16.04 ,1156.05 ,0.47 ,0.00 ,0.74 ,49.06 ,3653.42 ,33657.50 ,2593.74 ,3070.42 
264.75 ,2984.25 ,6.50 ,929.49 ,10.03 ,926.58 ,0.58 ,0.00 ,0.18 ,31.63 ,28439.19 ,33706.49 ,23653.91 ,5838.45 
264.75 ,2284.35 ,21.67 ,888.90 ,14.62 ,1090.83 ,0.63 ,0.00 ,0.77 ,34.88 ,7089.73 ,21251.55 ,15593.91 ,96.23 
264.75 ,2434.25 ,5.35 ,886.27 ,12.12 ,1125.12 ,0.48 ,0.00 ,0.77 ,5.96 ,11516.40 ,16677.15 ,606.22 ,14922.72 
175.54 ,2576.50 ,10.03 ,880.75 ,11.14 ,1061.78 ,0.47 ,0.00 ,0.42 ,5.93 ,13798.82 ,19342.38 ,11292.81 ,18554.99 
264.75 ,1848.75 ,17.07 ,833.97 ,16.91 ,1131.94 ,0.65 ,0.00 ,0.06 ,349.79 ,8900.98 ,11136.76 ,4306.68 ,6150.41 
197.84 ,1459.25 ,24.82 ,951.95 ,15.88 ,1118.26 ,0.65 ,0.00 ,0.18 ,7.69 ,11191.40 ,30300.62 ,85.36 ,21670.89 
189.77 ,1986.00 ,13.40 ,905.47 ,14.47 ,1129.39 ,0.60 ,0.00 ,0.26 ,34.35 ,17503.93 ,46174.97 ,32150.00 ,3556.33 
164.78 ,2627.46 ,2.27 ,835.69 ,10.77 ,1086.45 ,0.00 ,0.00 ,1.45 ,0.00 ,7493.07 ,56099.41 ,38753.08 ,1600.21 
264.75 ,3073.00 ,36.80 ,882.78 ,8.40 ,863.36 ,0.60 ,0.00 ,0.06 ,1.75 ,7091.37 ,21895.38 ,7736.12 ,6114.53 
264.01 ,2165.16 ,28.31 ,854.38 ,13.69 ,1170.78 ,0.55 ,0.00 ,0.13 ,1.46 ,1971.50 ,62260.91 ,58493.70 ,13745.06 
167.47 ,1209.25 ,10.47 ,807.98 ,19.94 ,1334.31 ,0.40 ,0.00 ,49.34 ,607.10 ,2316.89 ,1558.04 ,2351.78 ,100.00 
214.76 ,2079.00 ,9.13 ,866.42 ,13.17 ,1105.16 ,0.53 ,0.00 ,0.19 ,7.93 ,10928.29 ,32431.58 ,21537.58 ,3323.78 
264.75 ,3218.75 ,8.27 ,909.59 ,6.90 ,907.58 ,0.51 ,0.00 ,0.20 ,6.63 ,8065.20 ,9280.49 ,9619.12 ,9053.59 
239.76 ,2152.25 ,9.68 ,840.49 ,14.85 ,1127.05 ,0.55 ,0.00 ,1.20 ,42.00 ,3933.71 ,35133.00 ,6867.86 ,4315.96 
264.75 ,3218.75 ,21.89 ,869.15 ,7.23 ,895.93 ,0.59 ,0.00 ,0.11 ,4.85 ,12967.94 ,37918.43 ,26738.13 ,10353.14 
264.75 ,2112.50 ,18.15 ,945.71 ,13.22 ,1038.37 ,0.70 ,0.00 ,0.61 ,34.54 ,13854.51 ,18402.38 ,2658.48 ,12732.93 
264.75 ,3141.50 ,21.85 ,851.19 ,7.70 ,967.90 ,0.50 ,0.00 ,0.04 ,5.35 ,14853.54 ,25857.45 ,13752.36 ,4138.54 
264.75 ,1833.50 ,28.15 ,942.44 ,15.46 ,1085.87 ,0.63 ,0.00 ,0.20 ,9.91 ,4119.16 ,26614.42 ,12067.62 ,20998.75 
197.84 ,2919.00 ,33.84 ,944.14 ,10.02 ,931.92 ,0.57 ,0.00 ,0.19 ,34.71 ,19029.06 ,31338.91 ,19164.75 ,11665.65 
264.75 ,2964.53 ,31.63 ,870.86 ,9.08 ,951.92 ,0.62 ,0.00 ,0.10 ,5.75 ,28035.52 ,17864.03 ,1464.47 ,8903.47 
264.75 ,1285.75 ,39.50 ,935.49 ,15.94 ,1097.50 ,0.53 ,0.00 ,0.09 ,67.90 ,150.00 ,37125.83 ,11447.60 ,11069.21 
242.45 ,1474.00 ,42.60 ,941.58 ,15.51 ,1123.75 ,0.64 ,0.00 ,0.26 ,96.72 ,342.98 ,40352.54 ,20343.24 ,13241.13 
175.54 ,1000.50 ,10.35 ,818.68 ,20.87 ,1366.06 ,0.33 ,0.78 ,1.86 ,598.43 ,151.61 ,8778.81 ,25.00 ,1160.82 
175.54 ,1589.25 ,8.08 ,808.87 ,18.52 ,1244.82 ,0.44 ,0.00 ,0.73 ,431.03 ,433.01 ,22091.34 ,1451.72 ,9066.83 
264.75 ,3627.75 ,5.73 ,892.49 ,5.33 ,820.11 ,0.53 ,0.00 ,0.04 ,5.47 ,9217.78 ,34323.86 ,7836.29 ,14630.36 
164.78 ,1465.50 ,14.76 ,930.58 ,16.29 ,1108.13 ,0.61 ,0.00 ,0.22 ,9.03 ,7196.35 ,37150.07 ,4596.47 ,9951.26 
264.75 ,1345.75 ,25.20 ,855.14 ,18.55 ,1154.74 ,0.52 ,0.00 ,0.67 ,37.96 ,13761.81 ,35403.78 ,31986.37 ,151.61 
264.75 ,1854.10 ,24.28 ,865.16 ,15.83 ,1091.24 ,0.00 ,0.00 ,0.09 ,209.78 ,8863.95 ,19236.03 ,10219.31 ,5821.16 
168.07 ,1657.60 ,25.55 ,874.79 ,15.94 ,1190.69 ,0.00 ,0.00 ,0.26 ,3.24 ,500.30 ,64625.61 ,60396.43 ,15606.88 
164.78 ,1468.00 ,10.52 ,887.75 ,17.06 ,1143.31 ,0.59 ,0.00 ,1.03 ,41.75 ,18407.81 ,45256.24 ,38964.05 ,1750.00 
264.75 ,2669.75 ,29.60 ,883.52 ,10.93 ,1037.77 ,0.52 ,0.00 ,0.23 ,8.74 ,10392.67 ,15752.06 ,8835.58 ,5955.46 
264.75 ,2506.50 ,14.78 ,893.53 ,11.58 ,1111.32 ,0.47 ,0.00 ,0.38 ,6.03 ,7430.18 ,19029.65 ,16847.18 ,17197.89 
220.15 ,2986.00 ,10.51 ,921.57 ,8.91 ,961.80 ,0.58 ,0.00 ,0.11 ,32.22 ,29030.80 ,35862.62 ,21796.96 ,3093.14 
264.75 ,2112.75 ,17.60 ,931.59 ,13.91 ,1036.83 ,0.64 ,0.00 ,0.53 ,41.22 ,8912.21 ,41930.03 ,17949.03 ,2616.77 
264.75 ,2590.50 ,20.61 ,885.01 ,11.34 ,1009.59 ,0.59 ,0.00 ,0.20 ,6.11 ,30073.37 ,35750.91 ,11987.81 ,5210.33 
239.76 ,3053.25 ,26.37 ,938.30 ,8.69 ,871.01 ,0.68 ,0.00 ,0.02 ,5.79 ,12726.65 ,45884.72 ,21180.83 ,25963.96 
264.75 ,1802.75 ,19.36 ,845.76 ,17.04 ,1174.86 ,0.60 ,0.00 ,0.11 ,402.29 ,6554.96 ,8223.59 ,357.05 ,6609.65 
264.75 ,1721.50 ,17.49 ,878.14 ,16.40 ,1144.54 ,0.63 ,0.00 ,0.20 ,33.46 ,10430.13 ,38691.44 ,32935.50 ,8411.15 
220.15 ,1856.00 ,20.64 ,945.86 ,15.05 ,1069.68 ,0.64 ,0.00 ,0.14 ,41.49 ,9856.34 ,15226.54 ,125.00 ,12563.00 
175.54 ,2799.50 ,8.35 ,956.17 ,9.93 ,907.61 ,0.65 ,0.00 ,0.05 ,27.98 ,12058.50 ,29172.72 ,8697.56 ,8044.10 
264.75 ,2071.74 ,20.34 ,861.43 ,15.46 ,1017.62 ,0.55 ,0.00 ,0.08 ,353.70 ,7213.80 ,20089.47 ,9796.44 ,10473.76 
264.75 ,3184.75 ,22.18 ,879.99 ,8.63 ,908.03 ,0.54 ,0.00 ,0.05 ,5.05 ,9428.02 ,40833.90 ,30076.03 ,4893.62 
175.54 ,3515.00 ,23.41 ,924.99 ,4.67 ,817.05 ,0.54 ,0.00 ,0.02 ,6.73 ,16350.15 ,28073.61 ,6958.99 ,22231.23 
264.75 ,3168.00 ,27.13 ,917.04 ,7.30 ,864.05 ,0.69 ,0.00 ,0.11 ,6.50 ,18315.77 ,30985.92 ,1710.99 ,25278.99 
198.61 ,2750.00 ,30.02 ,925.89 ,9.01 ,945.24 ,0.65 ,0.00 ,0.06 ,5.79 ,14916.69 ,33157.31 ,28941.79 ,32036.35 
197.84 ,4225.75 ,18.48 ,932.00 ,2.32 ,701.33 ,0.45 ,0.00 ,0.02 ,5.56 ,8904.35 ,32202.60 ,31283.02 ,28803.26 
264.75 ,2493.00 ,27.21 ,943.44 ,11.49 ,958.37 ,0.72 ,0.00 ,0.14 ,34.16 ,6576.28 ,18250.14 ,13774.89 ,6717.70 
239.76 ,1930.50 ,23.41 ,941.13 ,15.95 ,1079.21 ,0.63 ,0.00 ,0.71 ,7.31 ,2511.47 ,32813.53 ,5945.38 ,16956.05 
242.45 ,2820.25 ,18.55 ,910.21 ,8.09 ,912.19 ,0.53 ,0.00 ,0.23 ,6.46 ,11993.64 ,13271.30 ,13598.80 ,13052.49 
