CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
264.75 ,2271.00 ,36.02 ,905.35 ,13.91 ,1042.71 ,0.60 ,0.00 ,0.10 ,81.95 ,28457.82 ,29633.21 ,29611.61 ,3873.95 
264.75 ,2707.25 ,28.81 ,896.80 ,10.37 ,1002.52 ,0.60 ,0.00 ,0.11 ,82.85 ,21580.72 ,37391.54 ,30057.40 ,2971.11 
264.75 ,2515.50 ,30.99 ,903.28 ,10.69 ,1019.97 ,0.63 ,0.00 ,0.23 ,22.25 ,8695.98 ,37623.50 ,3731.96 ,14370.37 
264.75 ,1325.00 ,14.71 ,788.47 ,20.34 ,1332.74 ,0.44 ,1.95 ,54.29 ,1596.61 ,2215.29 ,3386.37 ,1650.00 ,25.00 
189.77 ,2512.75 ,30.70 ,855.23 ,11.59 ,1023.16 ,0.55 ,0.00 ,0.15 ,5.36 ,4373.50 ,19073.74 ,3827.21 ,3913.11 
264.75 ,1692.50 ,36.48 ,837.93 ,17.45 ,1179.96 ,0.63 ,0.00 ,0.68 ,106.19 ,12459.84 ,44558.14 ,39667.46 ,476.99 
123.19 ,1423.00 ,16.57 ,827.88 ,19.01 ,1320.76 ,0.44 ,0.00 ,0.49 ,1209.05 ,3150.79 ,9892.80 ,1904.60 ,3070.42 
264.75 ,2454.76 ,31.11 ,849.48 ,14.44 ,1019.38 ,0.62 ,0.00 ,0.05 ,735.10 ,8341.71 ,14942.07 ,6983.92 ,13080.13 
167.47 ,1229.75 ,6.55 ,793.52 ,20.26 ,1362.70 ,0.51 ,0.00 ,1.17 ,113.64 ,1996.87 ,5750.43 ,2981.19 ,2065.79 
264.75 ,3072.75 ,16.71 ,858.15 ,8.45 ,928.74 ,0.58 ,0.00 ,0.04 ,17.90 ,10104.83 ,34747.77 ,11709.29 ,6547.33 
259.15 ,2279.28 ,28.01 ,820.46 ,12.59 ,1101.31 ,0.54 ,0.00 ,0.15 ,14.62 ,20859.69 ,22605.50 ,16452.39 ,3216.94 
264.75 ,2882.00 ,34.63 ,937.32 ,9.69 ,930.71 ,0.60 ,0.00 ,0.07 ,20.21 ,11709.29 ,33697.59 ,10071.12 ,25730.67 
264.75 ,3195.00 ,20.80 ,843.22 ,7.18 ,943.48 ,0.67 ,0.00 ,0.04 ,15.84 ,16298.08 ,31909.37 ,19683.69 ,9569.09 
264.75 ,3331.25 ,24.86 ,856.83 ,7.75 ,893.92 ,0.56 ,0.00 ,0.11 ,19.67 ,10759.53 ,39209.79 ,27673.95 ,7487.82 
220.15 ,2706.25 ,36.84 ,811.36 ,12.99 ,1101.73 ,0.66 ,0.00 ,0.07 ,4.28 ,4631.14 ,58452.78 ,55271.40 ,12954.83 
220.15 ,3608.25 ,8.77 ,867.97 ,5.73 ,823.53 ,0.60 ,0.00 ,0.02 ,16.70 ,11576.16 ,25671.14 ,5636.27 ,6071.86 
264.75 ,1539.50 ,15.79 ,781.01 ,18.11 ,1173.82 ,0.58 ,0.00 ,0.19 ,692.12 ,5985.61 ,18847.48 ,6166.64 ,6772.56 
175.54 ,3861.00 ,6.55 ,872.89 ,4.68 ,816.06 ,0.62 ,0.00 ,0.02 ,16.03 ,9930.13 ,24718.57 ,9053.59 ,9175.38 
164.78 ,2412.75 ,37.73 ,897.38 ,12.03 ,1012.89 ,0.57 ,0.00 ,0.05 ,112.85 ,5062.36 ,23661.52 ,19839.54 ,5454.13 
264.75 ,2984.25 ,17.35 ,831.48 ,9.61 ,1012.96 ,0.63 ,0.00 ,0.19 ,15.21 ,5639.81 ,44459.05 ,32066.30 ,2758.17 
264.75 ,1453.25 ,14.42 ,777.59 ,18.35 ,1230.01 ,0.59 ,0.00 ,0.28 ,731.25 ,6779.93 ,18450.68 ,2351.06 ,2804.91 
264.75 ,2586.25 ,23.33 ,838.85 ,12.01 ,1077.35 ,0.55 ,0.00 ,0.48 ,18.17 ,21769.42 ,29225.46 ,1757.13 ,6473.60 
175.54 ,2036.96 ,35.12 ,821.73 ,13.46 ,1116.87 ,0.62 ,0.00 ,0.12 ,4.78 ,6518.10 ,55353.69 ,52941.58 ,12969.18 
264.75 ,1450.50 ,20.08 ,828.29 ,18.29 ,1187.44 ,0.59 ,0.00 ,0.78 ,96.51 ,14326.46 ,40127.64 ,35133.00 ,1351.85 
264.75 ,2810.54 ,17.17 ,837.14 ,10.71 ,1016.97 ,0.60 ,0.00 ,0.04 ,18.29 ,38394.96 ,22160.62 ,13303.37 ,8659.56 
195.15 ,1946.75 ,24.05 ,929.26 ,13.93 ,1059.15 ,0.59 ,0.00 ,0.24 ,26.95 ,5614.94 ,26167.30 ,14157.24 ,20053.62 
0.19 ,1189.00 ,1.40 ,845.58 ,18.32 ,1154.44 ,0.56 ,0.00 ,0.00 ,96.05 ,85.36 ,35183.34 ,18953.30 ,4839.68 
175.54 ,1801.75 ,24.21 ,889.56 ,14.72 ,1119.50 ,0.67 ,0.00 ,0.14 ,93.60 ,10350.24 ,43186.43 ,28014.77 ,295.81 
220.15 ,3014.75 ,6.36 ,866.17 ,10.18 ,947.56 ,0.64 ,0.00 ,0.07 ,18.12 ,11247.56 ,33438.41 ,13141.82 ,10433.96 
164.78 ,2455.50 ,19.89 ,863.09 ,10.58 ,1053.30 ,0.48 ,0.00 ,0.46 ,5.25 ,1544.33 ,14879.77 ,8191.92 ,11023.95 
164.78 ,2377.25 ,5.75 ,852.89 ,12.64 ,1159.73 ,0.39 ,0.00 ,0.89 ,24.69 ,10403.25 ,13861.01 ,3691.54 ,12356.68 
0.19 ,2690.00 ,0.00 ,811.46 ,11.15 ,963.22 ,0.39 ,0.00 ,0.00 ,13.29 ,0.00 ,45489.49 ,40382.00 ,3261.66 
264.75 ,1611.50 ,24.22 ,792.74 ,18.43 ,1291.28 ,0.58 ,0.00 ,0.30 ,758.66 ,4701.86 ,11244.00 ,1557.24 ,2616.77 
220.15 ,2698.25 ,35.20 ,916.89 ,10.80 ,905.05 ,0.63 ,0.00 ,0.10 ,83.48 ,22665.56 ,30135.15 ,21181.30 ,8419.47 
167.47 ,1561.25 ,15.49 ,868.43 ,15.65 ,1153.32 ,0.65 ,0.00 ,0.18 ,92.17 ,24329.56 ,37257.58 ,32382.83 ,668.96 
220.15 ,1788.25 ,23.02 ,895.76 ,15.83 ,1082.18 ,0.69 ,0.00 ,0.19 ,86.49 ,2011.84 ,35057.77 ,6778.46 ,1551.61 
172.85 ,1549.25 ,24.19 ,926.73 ,17.71 ,1130.33 ,0.55 ,0.00 ,0.35 ,30.43 ,779.42 ,29338.16 ,11452.84 ,12683.36 
264.75 ,2789.75 ,25.27 ,842.46 ,9.99 ,1015.46 ,0.59 ,0.00 ,0.10 ,19.96 ,8661.84 ,41359.49 ,19164.75 ,3950.63 
164.78 ,1801.75 ,5.89 ,834.55 ,16.31 ,1177.13 ,0.49 ,0.00 ,0.74 ,126.94 ,3653.42 ,33657.50 ,2593.74 ,3070.42 
264.75 ,2984.25 ,6.50 ,891.90 ,10.32 ,946.95 ,0.57 ,0.00 ,0.19 ,77.32 ,28439.19 ,33706.49 ,23653.91 ,5838.45 
264.75 ,2284.35 ,21.67 ,854.99 ,14.95 ,1112.95 ,0.62 ,0.00 ,0.65 ,95.08 ,7089.73 ,21251.55 ,15593.91 ,96.23 
264.75 ,2434.25 ,5.35 ,856.64 ,12.40 ,1146.12 ,0.49 ,0.00 ,0.73 ,21.04 ,11516.40 ,16677.15 ,606.22 ,14922.72 
175.54 ,2576.50 ,10.03 ,854.69 ,11.40 ,1082.61 ,0.49 ,0.00 ,0.43 ,18.50 ,13798.82 ,19342.38 ,11292.81 ,18554.99 
264.75 ,1848.75 ,17.07 ,807.13 ,17.33 ,1153.64 ,0.65 ,0.00 ,0.07 ,756.71 ,8900.98 ,11136.76 ,4306.68 ,6150.41 
197.84 ,1459.25 ,24.82 ,923.85 ,16.17 ,1141.26 ,0.65 ,0.00 ,0.19 ,26.54 ,11191.40 ,30300.62 ,85.36 ,21670.89 
189.77 ,1986.00 ,13.40 ,868.32 ,14.80 ,1150.56 ,0.60 ,0.00 ,0.27 ,90.98 ,17503.93 ,46174.97 ,32150.00 ,3556.33 
164.78 ,2627.46 ,2.27 ,804.11 ,11.05 ,1104.89 ,0.00 ,0.00 ,1.84 ,0.00 ,7493.07 ,56099.41 ,38753.08 ,1600.21 
264.75 ,3073.00 ,36.80 ,853.74 ,8.67 ,881.79 ,0.62 ,0.00 ,0.07 ,4.98 ,7091.37 ,21895.38 ,7736.12 ,6114.53 
264.01 ,2165.16 ,28.31 ,819.51 ,14.06 ,1187.86 ,0.56 ,0.00 ,0.13 ,4.13 ,1971.50 ,62260.91 ,58493.70 ,13745.06 
167.47 ,1209.25 ,10.47 ,781.70 ,20.20 ,1357.10 ,0.41 ,0.45 ,51.44 ,1340.61 ,2316.89 ,1558.04 ,2351.78 ,100.00 
214.76 ,2079.00 ,9.13 ,833.00 ,13.44 ,1124.75 ,0.55 ,0.00 ,0.22 ,27.65 ,10928.29 ,32431.58 ,21537.58 ,3323.78 
264.75 ,3218.75 ,8.27 ,875.77 ,7.13 ,927.12 ,0.54 ,0.00 ,0.18 ,20.67 ,8065.20 ,9280.49 ,9619.12 ,9053.59 
239.76 ,2152.25 ,9.68 ,814.35 ,15.12 ,1147.05 ,0.53 ,0.00 ,1.10 ,119.62 ,3933.71 ,35133.00 ,6867.86 ,4315.96 
264.75 ,3218.75 ,21.89 ,838.99 ,7.68 ,913.52 ,0.61 ,0.00 ,0.09 ,15.13 ,12967.94 ,37918.43 ,26738.13 ,10353.14 
264.75 ,2112.50 ,18.15 ,921.41 ,13.44 ,1060.61 ,0.70 ,0.00 ,0.53 ,91.48 ,13854.51 ,18402.38 ,2658.48 ,12732.93 
264.75 ,3141.50 ,21.85 ,817.90 ,8.03 ,986.41 ,0.52 ,0.00 ,0.04 ,16.67 ,14853.54 ,25857.45 ,13752.36 ,4138.54 
264.75 ,1833.50 ,28.15 ,918.25 ,15.78 ,1109.04 ,0.64 ,0.00 ,0.21 ,30.89 ,4119.16 ,26614.42 ,12067.62 ,20998.75 
197.84 ,2919.00 ,33.84 ,909.87 ,10.32 ,953.13 ,0.61 ,0.00 ,0.20 ,84.86 ,19029.06 ,31338.91 ,19164.75 ,11665.65 
264.75 ,2964.53 ,31.63 ,834.59 ,9.33 ,970.70 ,0.65 ,0.00 ,0.10 ,17.64 ,28035.52 ,17864.03 ,1464.47 ,8903.47 
264.75 ,1285.75 ,39.50 ,920.29 ,16.43 ,1119.76 ,0.51 ,0.00 ,0.11 ,200.26 ,150.00 ,37125.83 ,11447.60 ,11069.21 
242.45 ,1474.00 ,42.60 ,927.06 ,15.80 ,1145.28 ,0.63 ,0.00 ,0.25 ,206.72 ,342.98 ,40352.54 ,20343.24 ,13241.13 
175.54 ,1000.50 ,10.35 ,793.55 ,21.16 ,1389.53 ,0.32 ,1.69 ,2.00 ,1312.45 ,151.61 ,8778.81 ,25.00 ,1160.82 
175.54 ,1589.25 ,8.08 ,785.58 ,18.80 ,1266.40 ,0.45 ,0.00 ,0.68 ,841.27 ,433.01 ,22091.34 ,1451.72 ,9066.83 
264.75 ,3627.75 ,5.73 ,859.92 ,5.61 ,838.48 ,0.55 ,0.00 ,0.04 ,17.04 ,9217.78 ,34323.86 ,7836.29 ,14630.36 
164.78 ,1465.50 ,14.76 ,903.40 ,16.68 ,1130.90 ,0.61 ,0.00 ,0.21 ,28.17 ,7196.35 ,37150.07 ,4596.47 ,9951.26 
264.75 ,1345.75 ,25.20 ,823.00 ,18.75 ,1177.78 ,0.52 ,0.00 ,0.76 ,100.03 ,13761.81 ,35403.78 ,31986.37 ,151.61 
264.75 ,1854.10 ,24.28 ,832.68 ,16.12 ,1112.88 ,0.00 ,0.00 ,0.10 ,441.88 ,8863.95 ,19236.03 ,10219.31 ,5821.16 
168.07 ,1657.60 ,25.55 ,839.70 ,16.16 ,1207.83 ,0.00 ,0.00 ,0.26 ,8.27 ,500.30 ,64625.61 ,60396.43 ,15606.88 
164.78 ,1468.00 ,10.52 ,855.27 ,17.34 ,1166.07 ,0.60 ,0.00 ,0.98 ,112.81 ,18407.81 ,45256.24 ,38964.05 ,1750.00 
264.75 ,2669.75 ,29.60 ,850.51 ,11.23 ,1058.77 ,0.52 ,0.00 ,0.26 ,27.26 ,10392.67 ,15752.06 ,8835.58 ,5955.46 
264.75 ,2506.50 ,14.78 ,867.45 ,11.87 ,1132.66 ,0.48 ,0.00 ,0.40 ,18.79 ,7430.18 ,19029.65 ,16847.18 ,17197.89 
220.15 ,2986.00 ,10.51 ,882.91 ,9.20 ,981.97 ,0.59 ,0.00 ,0.14 ,78.78 ,29030.80 ,35862.62 ,21796.96 ,3093.14 
264.75 ,2112.75 ,17.60 ,900.75 ,14.20 ,1058.00 ,0.65 ,0.00 ,0.51 ,100.78 ,8912.21 ,41930.03 ,17949.03 ,2616.77 
264.75 ,2590.50 ,20.61 ,848.84 ,11.64 ,1030.19 ,0.60 ,0.00 ,0.21 ,19.05 ,30073.37 ,35750.91 ,11987.81 ,5210.33 
239.76 ,3053.25 ,26.37 ,918.38 ,8.99 ,890.60 ,0.67 ,0.00 ,0.02 ,18.04 ,12726.65 ,45884.72 ,21180.83 ,25963.96 
264.75 ,1802.75 ,19.36 ,815.04 ,17.33 ,1196.06 ,0.60 ,0.00 ,0.13 ,791.44 ,6554.96 ,8223.59 ,357.05 ,6609.65 
264.75 ,1721.50 ,17.49 ,841.30 ,16.69 ,1166.47 ,0.65 ,0.00 ,0.26 ,81.80 ,10430.13 ,38691.44 ,32935.50 ,8411.15 
220.15 ,1856.00 ,20.64 ,924.06 ,15.39 ,1092.18 ,0.65 ,0.00 ,0.13 ,113.69 ,9856.34 ,15226.54 ,125.00 ,12563.00 
175.54 ,2799.50 ,8.35 ,929.32 ,10.22 ,929.65 ,0.65 ,0.00 ,0.06 ,52.87 ,12058.50 ,29172.72 ,8697.56 ,8044.10 
264.75 ,2071.74 ,20.34 ,828.66 ,15.74 ,1036.99 ,0.60 ,0.00 ,0.07 ,665.18 ,7213.80 ,20089.47 ,9796.44 ,10473.76 
264.75 ,3184.75 ,22.18 ,845.86 ,8.89 ,926.40 ,0.57 ,0.00 ,0.06 ,15.73 ,9428.02 ,40833.90 ,30076.03 ,4893.62 
175.54 ,3515.00 ,23.41 ,896.29 ,4.96 ,836.26 ,0.56 ,0.00 ,0.02 ,20.97 ,16350.15 ,28073.61 ,6958.99 ,22231.23 
264.75 ,3168.00 ,27.13 ,892.42 ,7.59 ,884.33 ,0.71 ,0.00 ,0.10 ,20.27 ,18315.77 ,30985.92 ,1710.99 ,25278.99 
198.61 ,2750.00 ,30.02 ,902.64 ,9.02 ,965.10 ,0.65 ,0.00 ,0.06 ,18.06 ,14916.69 ,33157.31 ,28941.79 ,32036.35 
197.84 ,4225.75 ,18.48 ,907.07 ,2.63 ,718.79 ,0.47 ,0.00 ,0.02 ,17.33 ,8904.35 ,32202.60 ,31283.02 ,28803.26 
264.75 ,2493.00 ,27.21 ,913.28 ,11.79 ,979.90 ,0.69 ,0.00 ,0.14 ,91.72 ,6576.28 ,18250.14 ,13774.89 ,6717.70 
239.76 ,1930.50 ,23.41 ,914.95 ,16.24 ,1102.14 ,0.63 ,0.00 ,0.70 ,23.74 ,2511.47 ,32813.53 ,5945.38 ,16956.05 
242.45 ,2820.25 ,18.55 ,876.27 ,8.36 ,932.35 ,0.53 ,0.00 ,0.21 ,20.14 ,11993.64 ,13271.30 ,13598.80 ,13052.49 
264.75 ,2583.25 ,27.11 ,836.12 ,11.86 ,1075.81 ,0.55 ,0.00 ,0.20 ,18.47 ,22075.04 ,29539.93 ,1105.73 ,2804.91 
