CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
264.75 ,2431.00 ,32.58 ,837.73 ,11.86 ,1045.23 ,0.62 ,0.00 ,0.22 ,20.79 ,18289.54 ,27214.11 ,3669.81 ,350.00 
264.75 ,2174.75 ,27.63 ,924.01 ,15.31 ,1064.14 ,0.68 ,0.00 ,0.26 ,93.44 ,8664.15 ,26530.13 ,2263.30 ,5962.17 
239.76 ,1442.75 ,12.92 ,832.62 ,17.89 ,1203.11 ,0.59 ,0.00 ,0.58 ,101.58 ,8647.98 ,39555.37 ,36850.34 ,5275.18 
264.75 ,2817.00 ,20.34 ,836.85 ,10.89 ,1031.20 ,0.61 ,0.00 ,0.45 ,17.48 ,30843.27 ,20450.12 ,5985.61 ,9966.32 
175.54 ,2648.50 ,32.10 ,841.86 ,11.35 ,1039.90 ,0.61 ,0.00 ,0.26 ,20.62 ,6150.41 ,40062.54 ,15404.14 ,6417.75 
214.77 ,1856.50 ,13.66 ,792.96 ,16.56 ,1082.79 ,0.57 ,0.00 ,0.57 ,680.15 ,3842.85 ,25626.70 ,3253.84 ,5231.40 
264.75 ,2622.75 ,13.50 ,843.03 ,11.91 ,1087.49 ,0.53 ,0.00 ,0.16 ,23.22 ,30586.07 ,32701.80 ,8412.34 ,10071.12 
249.88 ,1810.50 ,31.66 ,919.53 ,16.30 ,1093.24 ,0.57 ,0.00 ,0.29 ,25.94 ,1710.99 ,22170.42 ,17459.31 ,16104.27 
164.78 ,1754.75 ,24.43 ,802.23 ,18.66 ,1278.86 ,0.45 ,0.00 ,0.44 ,1139.77 ,2273.21 ,5312.96 ,3575.96 ,4790.35 
264.75 ,2815.17 ,23.65 ,841.99 ,10.87 ,1027.67 ,0.60 ,0.00 ,0.04 ,17.17 ,40721.55 ,23733.20 ,15608.08 ,9789.07 
264.75 ,3749.14 ,23.53 ,805.81 ,4.13 ,790.99 ,0.68 ,0.00 ,0.01 ,3.92 ,7134.41 ,68861.04 ,44956.16 ,8003.50 
264.75 ,2786.25 ,32.68 ,808.01 ,10.13 ,1064.60 ,0.49 ,0.00 ,0.36 ,15.03 ,8278.13 ,49564.18 ,32913.94 ,983.62 
264.75 ,3200.50 ,18.17 ,843.11 ,8.82 ,949.45 ,0.61 ,0.00 ,0.05 ,22.23 ,17813.13 ,22913.04 ,9753.33 ,5179.53 
239.76 ,2525.75 ,28.46 ,923.05 ,11.86 ,961.51 ,0.63 ,0.00 ,0.39 ,27.86 ,7385.63 ,44836.68 ,4341.37 ,15559.80 
164.78 ,2357.50 ,6.30 ,860.64 ,12.72 ,1143.78 ,0.40 ,0.00 ,0.74 ,28.41 ,13748.73 ,19902.95 ,2706.48 ,16383.15 
264.75 ,2874.63 ,7.72 ,861.12 ,10.34 ,994.50 ,0.61 ,0.00 ,0.34 ,86.85 ,26759.59 ,40495.23 ,16843.79 ,15994.85 
264.75 ,2540.25 ,16.13 ,846.99 ,11.95 ,1113.20 ,0.56 ,0.00 ,0.35 ,21.94 ,17120.38 ,24781.60 ,3479.58 ,4231.73 
264.75 ,1593.02 ,27.53 ,815.30 ,17.53 ,1207.35 ,0.62 ,0.00 ,0.68 ,94.57 ,2074.17 ,25884.63 ,19178.88 ,1474.10 
264.75 ,2971.75 ,31.31 ,935.70 ,9.05 ,872.30 ,0.67 ,0.00 ,0.07 ,18.65 ,7154.54 ,47985.49 ,24391.14 ,21206.78 
164.78 ,3134.71 ,19.10 ,840.32 ,8.72 ,929.97 ,0.61 ,0.00 ,0.12 ,26.16 ,22355.99 ,18397.76 ,6888.75 ,8868.21 
264.75 ,2551.50 ,14.27 ,914.36 ,11.48 ,942.20 ,0.65 ,0.00 ,0.18 ,89.24 ,9519.85 ,22250.11 ,17380.09 ,4813.26 
197.84 ,2347.00 ,37.24 ,833.09 ,12.15 ,1072.40 ,0.68 ,0.00 ,0.24 ,17.80 ,10762.32 ,35936.16 ,24332.85 ,430.02 
264.75 ,2276.32 ,24.79 ,816.29 ,15.25 ,1059.13 ,0.64 ,0.00 ,0.47 ,753.88 ,1839.23 ,18480.88 ,1043.37 ,8491.34 
228.40 ,1926.04 ,15.91 ,797.27 ,17.30 ,1252.05 ,0.00 ,0.00 ,0.05 ,536.79 ,6110.72 ,17049.24 ,1764.54 ,13646.21 
175.54 ,1349.25 ,34.13 ,739.66 ,19.00 ,1304.52 ,0.46 ,0.00 ,1.81 ,280.77 ,653.85 ,31930.04 ,3368.61 ,6085.02 
264.75 ,1612.75 ,17.30 ,783.18 ,18.18 ,1179.84 ,0.51 ,0.00 ,0.43 ,746.63 ,2933.85 ,20169.96 ,4302.03 ,5080.11 
264.75 ,2899.48 ,11.59 ,853.64 ,10.04 ,1003.94 ,0.58 ,0.00 ,0.13 ,78.48 ,33712.03 ,36206.49 ,20141.26 ,7864.26 
164.78 ,1441.75 ,18.26 ,776.77 ,19.60 ,1319.64 ,0.48 ,0.00 ,0.21 ,838.74 ,6775.51 ,13229.80 ,295.81 ,8350.30 
205.28 ,2789.50 ,15.78 ,875.07 ,9.63 ,1034.21 ,0.45 ,0.00 ,0.43 ,24.57 ,8245.45 ,19445.50 ,3395.22 ,13690.42 
167.47 ,2128.50 ,10.22 ,837.63 ,13.11 ,1128.18 ,0.51 ,0.00 ,0.42 ,24.18 ,12009.48 ,39534.89 ,22964.48 ,50.00 
264.75 ,2164.25 ,37.23 ,877.18 ,14.34 ,1051.20 ,0.63 ,0.00 ,0.24 ,85.72 ,2899.57 ,36307.95 ,22244.72 ,1344.43 
195.15 ,1976.50 ,5.50 ,792.93 ,16.33 ,1209.17 ,0.44 ,0.00 ,1.02 ,112.50 ,5150.49 ,31265.44 ,9893.81 ,750.00 
264.75 ,2561.00 ,17.20 ,919.32 ,11.10 ,1003.56 ,0.67 ,0.00 ,0.12 ,51.60 ,8062.72 ,30793.63 ,5319.53 ,5580.99 
205.28 ,3504.75 ,21.37 ,896.43 ,5.55 ,830.98 ,0.55 ,0.00 ,0.05 ,20.29 ,20552.55 ,22981.03 ,20795.37 ,12535.85 
264.75 ,3169.26 ,12.51 ,843.83 ,8.20 ,948.13 ,0.54 ,0.00 ,0.06 ,14.26 ,12670.65 ,32679.96 ,27160.22 ,6594.63 
97.01 ,2638.00 ,6.69 ,858.15 ,10.54 ,1050.67 ,0.48 ,0.00 ,0.21 ,19.57 ,24811.44 ,29700.63 ,14775.23 ,753.33 
175.54 ,2727.75 ,25.75 ,859.35 ,9.73 ,992.47 ,0.53 ,0.00 ,0.26 ,4.96 ,5250.48 ,7362.57 ,4217.52 ,5614.94 
214.76 ,3162.75 ,22.35 ,939.58 ,8.32 ,881.08 ,0.46 ,0.00 ,0.05 ,21.30 ,16981.97 ,27278.70 ,10270.71 ,21850.12 
264.75 ,3085.00 ,18.53 ,879.70 ,8.69 ,936.53 ,0.57 ,0.00 ,0.17 ,77.55 ,28213.25 ,41600.57 ,23968.89 ,5391.43 
239.76 ,1500.00 ,29.42 ,886.75 ,18.20 ,1162.67 ,0.56 ,0.00 ,0.68 ,29.84 ,1175.86 ,34587.97 ,3296.59 ,12957.91 
242.45 ,2502.75 ,21.51 ,893.23 ,11.78 ,1017.06 ,0.68 ,0.00 ,0.09 ,81.73 ,3238.05 ,32530.72 ,7850.32 ,4271.71 
197.84 ,2936.00 ,12.17 ,873.10 ,9.47 ,969.97 ,0.52 ,0.00 ,0.60 ,17.58 ,16290.10 ,30773.49 ,517.21 ,10179.76 
242.45 ,3109.50 ,27.15 ,917.86 ,8.48 ,885.62 ,0.67 ,0.00 ,0.02 ,19.25 ,10572.99 ,46734.65 ,9910.98 ,19790.09 
264.75 ,2648.25 ,22.54 ,899.09 ,10.92 ,980.56 ,0.70 ,0.00 ,0.07 ,80.01 ,23914.17 ,25458.35 ,20940.57 ,9737.94 
264.75 ,2700.25 ,19.33 ,845.23 ,10.67 ,988.37 ,0.65 ,0.00 ,0.12 ,15.64 ,14570.09 ,33048.56 ,26998.29 ,7630.69 
264.75 ,1726.25 ,24.63 ,885.82 ,16.56 ,1137.27 ,0.66 ,0.00 ,0.28 ,27.46 ,3412.84 ,40706.85 ,9086.67 ,1956.40 
175.54 ,2622.75 ,1.29 ,856.67 ,10.99 ,1096.66 ,0.35 ,0.00 ,0.72 ,18.58 ,16298.70 ,26760.56 ,18950.66 ,25817.97 
264.75 ,3731.00 ,31.59 ,858.87 ,5.22 ,864.57 ,0.53 ,0.00 ,0.03 ,5.30 ,5131.03 ,15119.77 ,2372.24 ,4879.29 
264.75 ,3088.50 ,29.07 ,777.63 ,8.76 ,922.64 ,0.00 ,0.00 ,0.03 ,0.00 ,5503.99 ,71374.77 ,50306.16 ,9753.92 
0.19 ,2690.00 ,0.00 ,800.27 ,11.17 ,977.46 ,0.55 ,0.00 ,0.00 ,13.36 ,0.00 ,48129.39 ,40296.42 ,3454.80 
264.75 ,1651.00 ,17.42 ,798.26 ,18.23 ,1228.95 ,0.54 ,0.00 ,0.26 ,738.35 ,1768.47 ,16589.98 ,5150.49 ,6797.61 
164.78 ,2445.25 ,10.25 ,847.41 ,12.49 ,1155.96 ,0.47 ,0.00 ,2.30 ,31.78 ,4412.20 ,4257.64 ,1329.47 ,1835.08 
189.77 ,1189.25 ,2.60 ,845.23 ,18.52 ,1200.00 ,0.52 ,0.00 ,0.12 ,118.83 ,2885.74 ,18661.93 ,15922.55 ,135.36 
264.75 ,2080.11 ,25.64 ,837.57 ,15.66 ,1091.52 ,0.00 ,0.00 ,0.31 ,82.62 ,9378.88 ,18773.71 ,17878.18 ,3234.05 
164.78 ,2697.76 ,3.24 ,809.09 ,10.89 ,991.06 ,0.39 ,0.00 ,0.78 ,19.41 ,489.52 ,51773.49 ,39280.24 ,10.48 
264.75 ,3771.75 ,27.30 ,785.27 ,5.00 ,771.87 ,0.65 ,0.00 ,0.01 ,3.86 ,4790.35 ,69631.95 ,48104.34 ,7907.43 
240.65 ,1884.50 ,39.04 ,921.25 ,14.27 ,1109.55 ,0.57 ,0.00 ,0.34 ,63.66 ,4288.06 ,20236.79 ,16264.92 ,15428.14 
170.16 ,2988.00 ,2.29 ,849.49 ,9.85 ,1029.33 ,0.46 ,0.00 ,0.28 ,22.33 ,14513.01 ,21820.35 ,8199.24 ,11541.56 
164.78 ,2017.25 ,26.20 ,870.59 ,14.56 ,1151.68 ,0.57 ,0.00 ,0.52 ,85.06 ,20474.07 ,40842.72 ,30729.59 ,1275.74 
220.15 ,1785.00 ,31.85 ,910.50 ,16.00 ,1085.86 ,0.57 ,0.00 ,0.30 ,106.82 ,3386.37 ,32184.59 ,2950.00 ,2438.75 
264.75 ,3038.75 ,32.77 ,818.32 ,9.87 ,973.52 ,0.64 ,0.00 ,0.55 ,21.38 ,1835.08 ,48127.00 ,36020.10 ,1458.60 
175.54 ,1147.00 ,10.55 ,766.66 ,21.36 ,1371.80 ,0.38 ,0.00 ,0.70 ,973.97 ,864.59 ,13756.00 ,6022.25 ,4563.72 
264.75 ,2385.50 ,29.59 ,918.39 ,12.78 ,1022.93 ,0.64 ,0.00 ,0.33 ,266.44 ,4165.03 ,32544.24 ,14850.84 ,5703.29 
170.16 ,2513.00 ,5.98 ,836.07 ,11.97 ,1096.06 ,0.38 ,0.00 ,0.34 ,24.48 ,18772.52 ,24619.66 ,8393.30 ,887.41 
264.75 ,2809.25 ,18.41 ,936.50 ,10.42 ,918.06 ,0.64 ,0.00 ,0.07 ,21.43 ,16130.33 ,28672.77 ,8816.32 ,15997.73 
264.75 ,1993.75 ,23.44 ,916.38 ,15.05 ,1081.41 ,0.58 ,0.00 ,0.32 ,24.83 ,2875.47 ,35965.64 ,3459.41 ,5771.27 
264.75 ,3137.39 ,12.28 ,842.47 ,8.89 ,915.91 ,0.62 ,0.00 ,0.10 ,17.27 ,24288.88 ,18624.42 ,1979.22 ,7725.97 
231.43 ,1633.25 ,33.54 ,870.44 ,17.64 ,1142.59 ,0.60 ,0.00 ,1.14 ,110.23 ,4217.52 ,11164.56 ,3702.36 ,4017.15 
