RMSE_original, 0.168362
Factors, citycenter.tif,DEM.tif,Evapotranspiration.tif,expressway.tif,gdp.tif,NDVI.tif,NL.tif,POP.tif,rainfall.tif,river.tif,Slope.tif,temperture.tif,trunkroad.tif,
RMSE_noise, 0.272506,0.36826,0.291583,0.268765,0.349568,0.41626,0.205827,0.319919,0.30563,0.274687,0.374688,0.302501,0.285145,
Contribution:, 0.0563967,0.10825,0.0667272,0.0543709,0.0981276,0.134243,0.0202885,0.0820719,0.0743342,0.0575777,0.111731,0.0726398,0.0632411,
